Автор,Название статьи,Название сборника/журнала,Выпуск / номер,Где издано,Год издания,Страницы,Номер отчета,Название памятника
"Газимзянов И.Р., Измайлов И.Л.","Исследования на Спасском (Старокуйбышевском) комплексе памятников","рхеологические открытия Урала и Поволжья",,"Ижевск","1991","105",,"Куйбышевское IV"
"Чижевский А.А.","Исследования в бассейнах рек Свияги и Утки","Археологические открытия Урала и Поволжья",,"Ижевск","1991","158",,"Степановское I"
"Чижевский А.А.","Исследования в бассейнах рек Свияги и Утки","Археологические открытия Урала и Поволжья",,"Ижевск","1991","158",,"Танкеевское II"
"Старостин П.Н.","Погребение с остатками кремации в низовьях Камы","СА","№ 2","Москва","1975","266",,"Старокуйбышевское"
"Старостин П.Н.","Именьковские могильники.","Культуры Восточной Европы I тысячелетия н.э.",,"Куйбышев","1986","92",,"Старокуйбышевское"
"Старостин П.Н.","Именьковские могильники.","Культуры Восточной Европы I тысячелетия н.э.",,"Куйбышев","1986","92",,"Троицко-Урайское"
"Старостин П.Н.","Именьковские могильники.","Культуры Восточной Европы I тысячелетия н.э.",,"Куйбышев","1986","93",,"Рождественский II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","109",,"Янтиковское (Кирельское)"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954",,,"Янтиковское (Кирельское)"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954",,,"Япанчинское (Луковское)"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","110",,"Япанчинское (Луковское)"
"Губайдуллин А.Р., Измайлов И.Л.","Исследования булгарских городищ в Предволжье","Археологические открытия Урала и Поволжья",,"Ижевск","1991","107-108",,"Япанчинское (Луковское)"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","110",,"Маклашеевское II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","110",,"Маклашеевский IV"
"Старостин П.Н.","Именьковские могильники.","Культуры Восточной Европы I тысячелетия н.э.",,"Куйбышев","1986","96",,"Маклашеевский IV"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","110",,"Маклашеевский V"
"Старостин П.Н., Чижевский А.А.","Маклашеевский V могильник","Древние памятники Приустьевого Закамья","Вып. 1","Казань","1993",,,"Маклашеевский V"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004",,,"Малая Рязань I"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","111",,"Междуреченское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","112",,"Ош-Пандо (Моргинское)"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","112",,"Лысая гора"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","112",,"Новинки V"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","113",,"У Пичкасского рыбопитомника"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Войкинское I"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Войкинское III"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Войкинское IV"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Войкинское V"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Войкинское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Войкинское V"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Ямкинское  IV"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Ямкинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Ямкинское  IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Ямкинское I"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","45",,"Большетарханское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Большетарханское Ia с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Большетарханское II с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Большетарханское I с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Большетарханское IV с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Большетарханское VI с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33",,"Большетарханское III м"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Юматихинское I"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","113",,"Подгоры I"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","113",,"Водозаборное"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","114",,"Пролетарское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","114",,"Рождественское"
"	Генинг В.Ф., Стоянов В.Е., Хлебникова Т.А., Вайнер И.С., Казаков Е.П., Валеев Р.К.","Археологические памятники у села Рождествено",,,"Казань","1962",,,"Рождественское"
"	Генинг В.Ф., Стоянов В.Е., Хлебникова Т.А., Вайнер И.С., Казаков Е.П., Валеев Р.К.","Археологические памятники у села Рождествено",,,"Казань","1962",,,"Рождественское  IV с"
"	Генинг В.Ф., Стоянов В.Е., Хлебникова Т.А., Вайнер И.С., Казаков Е.П., Валеев Р.К.","Археологические памятники у села Рождествено",,,"Казань","1962",,,"Рождественское II с"
"	Генинг В.Ф., Стоянов В.Е., Хлебникова Т.А., Вайнер И.С., Казаков Е.П., Валеев Р.К.","Археологические памятники у села Рождествено",,,"Казань","1962",,,"Рождественский II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","114",,"Рождественский II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004",,,"Рождественское  IV с"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","115",,"Ош-Пандо (Сайнинское)"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","115",,"Саралинское I («Тексер» -  Лысая гора)"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","117",,"Старомайнское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","117",,"Куйбышевское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Кошкинское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Кошкинское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Куйбышевское  I"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Куйбышевское II"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Куйбышевское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Куйбышевское  I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Куйбышевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Куйбышевское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Куйбышевское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Куйбышевское V"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Маклашеевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Маклашеевское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967",,,"Маклашеевское II с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Маклашеевское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Маклашеевское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Малиновка II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Малиновка IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Нижнеборисковское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Нижнеборисковское"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Никольское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Никольское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Пичкасское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Пичкасское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Пичкасское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Полянское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Танкеевское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Танкеевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Тюгульбаевское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Тюгульбаевское II"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Тюгульбаевское I"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Тюгульбаевское II"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Хланеевское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","38",,"Хланеевское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Щербетьское островное I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","42",,"Щербетьское островное I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","43",,"Щербетьское  островное II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Щербетьское  островное II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","42",,"Щербетьское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","42",,"Щербетьское III"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","135-136",,"Ош-Пандо (Сайнинское)"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","7-9","Ф1 Р1 №34","Ош-Пандо (Сайнинское)"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","136",,"Беловодское с"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","256",,"Беловодское с"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","256",,"Беловодское"
"Степанов П.Д.","Итоги археологических работ в Западном Поволжье за пятилетие 1945-1949 гг.","УЗ СГПИ и СГУ","XXII","Саратов","1956","136",,"Беловодское"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","24-26","Ф1 Р1 №34","Ашна-Пандовское"
"Беговатов Е.А.","Отчет по разведочным работам по берегам Куйбышевского водохранилища в пределах ТАССР и Ульяновской области за 1984 г.",,,"Казань","1984","3",,"Малиновка I"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","13-16","Ф1 Р1 №143","Бураковское II"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30",,"Бураковское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","16-18","Ф1 Р1 №143","Девичий Городок"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Куйбышевское  I"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Куйбышевское II"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Куйбышевское III"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30",,"Косяковское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Косяковское II"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Кураловское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Кураловское"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Коминтерновское III"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Коминтерновское III"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Коминтерновское IV (Курган)"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988","42-43",,"Валы V"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988","43",,"Валы VI"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988","43-44",,"Валы VII"
"Набоков А.В.","Отчет об археологических разведках в Ставропольском районе Куйбышевской области в 1989 г.",,,"Куйбышев","1989","7",,"Каменная Коза"
"Матвеева Г.И.","Отчет об исследованиях на Бахиловском селище.",,,"Самара","1993",,,"Бахиловское"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","366",,"Брусяны II"
"Матвеева Г.И.","Отчет I отряда Средневолжской археологической экспедиции об исследованиях памятников железного века в Куйбышевской области.","Архив Археологической лаборатории СамГУ.",,"Куйбышев","1972",,,"Малая Рязань I"
"Вязов Л.А.","Отчет о разведках в Ставропольском районе Самарской области в 2007 г. по Открытому листу № 1088 (форма № 2).
В 2007 г. по Открытому листу № 1088 (форма № 2)",,,"Самара","2008","30-34",,"Малая Рязань V"
"Вязов Л.А.","Отчет о разведках в Ставропольском районе Самарской области в 2007 г. по Открытому листу № 1088 (форма № 2).
В 2007 г. по Открытому листу № 1088 (форма № 2)",,,"Самара","2008","34-39",,"Малая Рязань VI"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","365",,"Винновка V"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","365",,"Винновка VI"
"Матвеева Г.И.","Отчет I отряда Средневолжской археологической экспедиции об исследованиях памятников железного века в Куйбышевской области.","Архив Археологической лаборатории СамГУ.",,"Самара","1972",,,"Винновка VI"
"Набоков А.В.","Отчет об археологических разведках в Ставропольском районе Куйбышевской области по открытому листу №593.",,,"Куйбышев","1982","2",,"Ермаково II"
"Кузнецова Л.В.","Отчет о разведках в Ставропольском районе Куйбышевской области.",,,"Куйбышев","1977","1-4",,"Жигули II"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988",,,"Жигули II"
"Матвеева Г.И., Морозов В.Ю.","Кармалинское городище.","Археологические исследования в лесостепном Поволжье.",,"Самара","1991","172-184",,"Кармалинское"
"Салугина Н.П.","Отчет о раскопках в Ставропрльском районе Куйбышевской области в 1976 г.",,,"Куйбышев","1977","10-12",,"Кармалинское с"
"Пестрикова В.И.","Научный отчет о выполнении работ по теме: выявление, обследование, частичные раскопки и паспортизация археологических памятников на территории ГПНП ""Самарская Лука"" в 1988 году.",,,"Куйбышеа","1988","5-6",,"Красный Пахарь V"
"Пестрикова В.И.","Научный отчет о выполнении работ по теме: выявление, обследование, частичные раскопки и паспортизация археологических памятников на территории ГПНП ""Самарская Лука"" в 1988 году.",,,"Куйбышеа","1988","6-10",,"Красный Пахарь IV"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","366",,"Красный Пахарь II"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","365",,"Осиновка I"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","365",,"Осиновка III"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","365",,"Осиновка IV"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","360",,"Сосновый Солонец III"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","365",,"Осиновка III м"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","361",,"Сосновый Солонец IX (Студененькая Водичка)"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","360",,"Сосновый Солонец VII"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","360",,"Сосновый Солонец VIII"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","361",,"Сосновый Солонец X"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","361",,"Сосновый Солонец XII"
,"История Самарского Поволжья с древнейших времен до наших дней. Ранний железный век и средневековье.",,,"Самара","2000","366",,"Новый Путь II"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Измерское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Каюковское"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Базяковское"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Войкинское III"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Войкинское IV"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Войкинское V"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","30","Ф1 Р1 №143","Старосельское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","32-33","Ф1 Р1 №143","Гурьевское III"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948","33","Ф1 Р1 №143","Ямкинское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","15-20","Р1 №202","Ташкирменьское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","21-22","Р1 №202","Ташкирменьское II (""Бишек-Тау"")"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","26-28","Р1 №202","Именьковское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","28-39","Р1 №202","Именьковское II (Коллар-Каласы)"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Баганское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Именьковское II м"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Искровское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Каменнобродское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Каменнобродское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Кара-Бикуловское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Ледокольское м"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Ледокольское с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Лягушкинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Лягушкинское II"
"Старостин П.Н.","Отчет об археологических раскопках II Маклашеевского городища летом 1963 года.",,,"Казань","1964","1",,"Маклашеевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Маломаксимкинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Маломаксимкинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Новокармалинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Покровское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Покровское I м"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Покровское II м"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Пролетарское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сиделькинcкое I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сиделькинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сиделькинское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Старокармалинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967",,,"Старомаксимкинское"
