"IDReport","IDAutor","RepName","IDPubPlace","RepYear","IDStorePlace","RepNumber","Active"
"27","19","Научный отчет о выполнении работ по теме: выявление, обследование, частичные раскопки и паспортизация археологических памятников на территории ГПНП ""Самарская Лука"" в 1988 году.","5","1988","2",,"true"
"28","32","Отчет об археологическом обследовании территории Государственного природного национального парка Самарская Лука (по открытому листу №551).","5","1988","3","Р1 №12862","true"
"29","30","Отчет об археологических разведках в Ставропольском районе Куйбышевской области в 1989 г.","5","1989","1",,"true"
"30","3","Отчет о раскопках селища и курганного могильника у с. Новинки Волжского района Самарской области по открытому листу № 568 (форма №4) и разведках в Челновершинском и Шенталинском районах Самарской области по открытому листу №712 (форма №2) в 1992г.","6","1993","2",,"true"
"31","20","Отчет об исследованиях на Бахиловском селище.","6","1993","1",,"true"
"32","29","Отчет об археологических исследованиях на Муромском городке и его пригороде в Ставропольском р-не Самарской области, разведках по р.Усе и Куйб. вдхр. в Шигонском, Сызранском, Ставропольском р-х и разведках в Ульяновском р-не Ульяновской обл. в 1993 г.","6","1994","2",,"true"
"33","25","Отчет о разведках в Ставропольском районе Самарской области в 2007 г. по Открытому листу № 1390 (форма № 3).","6","2008","1",,"true"
"34","26","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","5","1988","1",,"true"
"35","22","Отчёт о разведках в Волжском районе Самарской области в 1993 г.","6","1993","1",,"true"
"36","3","Отчёт о раскопках раннесредневековых памятников в Волжском районе Самарской области в 1994 г.","6","1994","2",,"true"
"37","53","Отчет VI разведочного отряда Татарской археологической экспедиции на 1961 год.","4","1962","3","Р1 №2394","true"
"38","52","Отчет разведочного отряда Морозовой госмузея ТАССР. Лето 1961 г.","4","1962","3","Р1 №2394","true"
"39","69","Отчет о разведках в Ставропольском районе Самарской области в 2007 г. по открытому листу №1088 (форма №2).","6","2008","3",,"true"
"40","3","Отчет о раскопках Новинковского I курганного могильника и Карлинского I селища в Волжском районе Самарской области в 1993 г.","6","1994","2",,"true"
"41","3","Отчет об охранно-спасательных раскопках Карлинского I селища в Волжском районе Самарской области.","6","1996","2",,"true"
"42","3","Отчет о охранно-спасательных раскопках Карлинского I селища в Волжском районе Самарской области.","6","1999","2",,"true"
"43","34","Отчет по разведочныхм работам в пределах ТАССР по берегам Куйбышевского водохранилища.","4","1988","3","Р1 №12320","true"
"44","73","Отчет о разведках в Волжском, Ставропольском и Красноярском районах Куйбышевской области в 1970 г.","5","1970","3","Р1 №3871","true"
"45","20","Отчет о раскопках Старомайнского городища в 1987 г.","5","1990","1",,"true"
"46","20","Отчет о раскопках Старомайнского городища в 1991 г.","6","1991","1",,"true"
"47","20","Отчёт о раскопках Старо-Майнского городища в 1990 году по открытому листу № 796.","6","1991","1",,"true"
"48","103","Отчет о разведке в Чистопольском районе Республики Татарстан в 1997 г.","4","1998","6",,"true"
"49","105","Отчет об археологических исследованиях на Лебединском III селище в Алексеевском районе Республики Татарстан","4","2013",,,"true"
"50","107","Губайдуллин А.М., Газимзянов И.Р. Отчет. Археологические исследования в округе села Курманаево Нурлатского района РТ (Курманаевское IV селище, Бурметьевское I селище, Бурметьевское кладбище)","4","1999","7",,"true"
"51","20","Отчет о раскопках городища Лбище в 1982 г. По открытому листу № 344","5","1983","3","Р1 №10118","true"
"52","20","Отчет о раскопках городища Лбище в 1983 г. по открытому листу № 595","5","1984","3","Р1 №10119","true"
"53","20","Отчет о раскопках городища Лбище в 1984 г. по открытому листу № 496","5","1985","3","Р1 №11301","true"
"54","109","О результатах археологической разведки на терри-тории Алатырского, Комсомольского, Красночетайского и Цивильского райо-нов Чувашской Республики в 2013 г.","17","2014","9","Ед. хр. 2706. Инв. № 9534","true"
"55","109","Отчет о результатах археологической разведки на территории Алатырского и Порецкого районов Чувашской Республики в 2012 г.","17","2013","9","Ед. хр. 2703. Инв. № 9531.","true"
"56","109","Отчет о результатах археологической разведки на территории Алатырского и Порецкого районов Чувашской Республики в 2009 г.","17","2010","9","Ед. хр. 435. Инв. 768.","true"
"57","33","Отчет по обследованию археологических памятников Ульяновской обл.",,"1963","3","P1 № 2782","true"
"58","10","Отчет о разведочных работах в зоне Куйбышевского водохранилища, проведенных летом 1981 года","4","1982","3","Р1 №8772","true"
"59","127","Отчет об археологических разведках в Ульяновском районе Ульяновской области","8","1990","3","Р1 №15677","true"
"60","129","Отчет об археологических исследованиях в Ульяновской области в 1991 году","8","1991","3","Р1 №16635","true"
"61","130","Отчет об археологических разведках в Ульяновском и Старомайнском районах в 1989 году","8",,,,"true"
"62","56","Отчет об археологической разведке в Старомайнском, Чердаклинском и Ульяновском районах Ульяновской области по открытому листу 2-й формы (№250) в 1989 году","8","1989","3","Р1 №13738","true"
"63","56","Отчет об археологических раскопках поселения Красная Поляна в Старомайнском районе Ульяновской области по открытому листу №249 в 1989 г.","8","1989","3","Р1 №13738","true"
"64","56","Отчет с.н.с. археологической лаборатории УлГПУ Ю.А. Семыкина об охранно-спасательных археологических исследованиях в 1994 году городища ""Чертов городок"" в Старомайнском районе Ульяновской области по открытому листу 4-1 формы № 102","8","1995","3","Р1 №18947","true"
"65","131","Отчет о разведках в Старомайнском районе Ульяновской области по Открытому листу №815 в 1987 г.","5","1987","3","Р1 №12304","true"
"66","132","Отчет о работах на Куйбышевском водохранилище в пределах Татарской АССР в 1971 году","4","1972","3","Р1 №4566","true"
