IDMonument,MonNumber,MonName,IDMonType,IDState,IDRegion,MonDescription,MonLength,MonWide,MonSquare,MonLayer,IDSquareType,IDSoilType,IDWaterType,IDRiverReliefType,IDLocalReliefForm,MonDateToTheFort,IDArrangementType,FerrousMetallurgy,NonferrousMetallurgy,Agriculture,IDMapNumber,IDCurrentState,Active,Location Specified,MonTatarCodeNumber,IDMonCultureBelonging,AnotherCultureLayers,MonDecimalLatitude,MonDecimalLongitude,MonLatitude,MonLongitude
1405,785,"Молебное озеро II",2,6,95,"В 3,5 км к ВЮВ от с. Семасы и 2,5 км к ВСВ от с. Иваньково-Ленино, на песчаной дюне высотой около 4 м в 230 м к В от стоянки Молёбное озеро I, на берегу оз.
Открыто в 2007 г. Н.С. Березиной (заложены разведочные шурфы). В 2011 г. совместной экспедицией (Н.С. Березина) был заложен раскоп площадью 144 кв. м. Найдены изделия из кремня и окремнелого известняка. Пятая группа керамики с бугристой поверхностью от крупной шамотной примеси отнесена к именьковской культуре.",,,,,1,,5,2,,0,,0,0,0,,,1,0,,783,783,,,"N54°46'02.08""","E46°41'22.24"""
1420,800,"Мордовско-Каратаевское",1,3,22,"В 2 км к ЮВ от с. Мордовские Каратаи, у истоков оврага, идущего от края берега р. Волги на СЗ, к с. М. Каратаи, на мысу между оврагами, спускающимися к Волге, к ЮВ от Мордовско-Каратаевского II селища.",20,30,600,,2,,6,7,5,0,2,0,0,0,,4,1,1,,798,798,,,"55°06'21.35""","49°06'16.47"""
1412,792,"Березогривское III",2,3,5,"В 0,5 км к западу - юго-западу от церкви, на мысу высокой террасы на площади 100 х 20 м, по дороге в 2006 г. М.Ш. Галимовой была собрана болгарская и именьковская керамика",100,20,2000,,2,,2,5,8,0,2,0,0,0,,,1,0,551,790,790,,,"N55°11'53.83""","E49°43'53.38"""
1409,789,"Утюж I",2,6,95,"В 2,5 км к ВЮВ от с. Стемасы, в 2,8 км к ССВ от с. Иваньково-Ленино, на краю песчаной надпойменной террасы правобережной поймы Суры, на левом берегу р. Утюж.
Открыто в 1970-х г. Б.Ю. Новиковым. В 1974 г. было обследовано ЧАЭ (В.Ф. Каховский). В 2006-2012 гг. совместной экспедицией ЧГИГН, УГПУ, ПГСГА, ПГПУ, ИА РАН на памятнике проведены археологические раскопки (площадь 704 кв. м). Зафиксирован небольшой керамический комплекс имень-ковской культуры.",,,,,1,,2,3,,0,,0,0,0,,,1,0,,787,787,,,"N54°46'28.53""","E46°40'31.96"""
1416,796,"Ундоровское IV",1,4,80,"На мысу между оврагами",170,45,5000,,2,,3,5,5,0,2,1,0,0,,4,1,1,,794,794,,,"54°34'36.20""","48°23'11.21"""
1310,695,"Поливна",2,4,83,"На С границе г. Ульяновска, в 1 км к С-СЗ от поселка Поливно, на краю оврага",250,50,,,,3,3,5,2,0,2,0,0,0,,,1,0,,690,690,5.4401805555999999e+01,4.8363752777999999e+01," 54° 24' 7"""," 48° 21' 50"""
1426,806,"У с. Мостовая Слобода",3,4,83,"Обнаружено при обследовании высокой террасы правого берега р. Свияги в 0,5 км к С от с. Мостовая слобода (в настоящее время - территория г. Ульяновска). У кладбищенской ограды на обочине дороги найдено 15 обломков лепногй керамики с шамотом. От местонахождения до края террасы 30 м. Здесь же проходит забор садоводства.",,,,,1,,2,5,1,0,1,0,0,0,,,1,0,,804,804,,,"54°20'37.61""","48°19'40.19"""
1296,681,"Кременкинское V",2,4,91,"Находится на территории г. Новоульяновска, в его прибрежной части, на правом приустьевом участке небольшого овражка, впадающего в в Волгу. Высота поселения над дном овражка - 5-7 м. Северной границей поселения служит откос оврага и протекающий там ручей, южной - городской парк.",60,40,2000,,2,,3,5,2,0,1,0,0,0,,1,1,0,,677,677,5.4154494444000001e+01,4.8399011111000000e+01," 54° 9' 16"""," 48° 23' 56"""
1406,786,"Сарское II",2,4,77,"На левой стороне безымянного оврага, прорезающего коренной берег р. Сура в 220 м к ЗСЗ от селища Сарского I селища. На распахиваемой площади селища АЭ ЧГИГН в 2012 г. (Н.С. Мясников) были обнаружены кости живот-ных и фрагменты лепной керамики.",,,,,1,,,,,0,,0,0,0,,2,1,1,,784,784,,,"N54°40'11.16""","E46°44'13.78"""
1407,787,"Сарское III",2,4,77,"На левой стороне овр. Выездной, прорезающего коренной берег р. Сура, в 420 м к ЗСЗ от Сарского II селища. На распахиваемой площади селища АЭ ЧГИГН в 2012 г. (Н.С. Мясников) были обнаружены кости животных и фраг-менты лепной керамики.",,,,,1,,,,,0,,0,0,0,,2,1,1,,785,785,,,"N54°40'18.37""","E46°43'42.92"""
1408,788,"Сарское IV",2,4,77,"На коренном берегу р. Сура, с правой стороны от безымянного оврага в котором находится т.н. «Княжий родник» в 530 м к ЗСЗ от Сарского III селища. На распахиваемой площади селища АЭ ЧГИГН в 2012 г. (Н.С. Мясников) были обнаружены фрагменты керамики, дисков-лепешечниц, кости животных и тёрочник из песчаника с обтесанными краями.",,,,,1,,,,,0,,0,0,0,,,1,1,,786,786,,,"N54°40'24.09""","E46°43'15.12"""
1432,812,"Головкинское II",2,4,81,"В 500 м к ЮЗ от Ю конца быв. С. Головкино.",100,50,,,2,,5,3,1,0,3,0,0,0,,5,1,0,,810,810,,,"54°33'04.87""","48°49'32.39"""
1431,811,"Головкинское I",2,4,81,"В 1,5 км от быв. С. Головкино, в 4,5-5 км к СЗ от с. Малиновка, на краю надлуговой террасы (в настоящее время на отмели). В южной части селища найдены кости человека.",300,180,540000,70,5,,5,3,3,0,3,0,0,0,,5,1,0,,809,809,,,"54°34'33.70""","48°52'19.24"""
1433,813,"Головкинское III",2,4,81,"В 800 м к СВ от быв. С. Головкино, в 4,5 км к ЗСЗ от с. Малиновка, на отмели. В южной части селища встречены кости человека.",500,200,100000,,7,,5,3,2,0,3,0,0,0,,5,1,0,,811,811,,,"54°34'10.44""","48°51'11.14"""
668,625,"Березовый Солонец II",3,2,65,"Находится в 3 км к ЮВ от с.Березовый Солонец, в 2 км к СВ от места слияния 2 ветвей Аскульского оврага, у южной опушки лиственного леса.",,,54000,,5,,3,6,2,0,3,0,0,0,173,,1,0,,53,53,5.3242033333000002e+01,4.9601675000000000e+01," 53° 14' 31"""," 49° 36' 6"""
730,626,"Винновка VI",2,2,65,"В 1 км к ЮЗ (СЗ?) от с. Винновка, по памятнику проходит дорога Винновка-Осиновка.",,,,,,,3,6,1,0,2,0,0,0,173,,1,0,,115,115,5.3197986110999999e+01,4.9673844443999997e+01," 53° 11' 53"""," 49° 40' 26"""
731,627,"Винновка VII",2,2,65,"Находится в 2,5 км к С от с.Винновка, на З краю Винновского оврага, при разветвлении его на две части.",80,30,2400,,2,,3,6,5,0,2,0,0,0,173,,1,0,,116,116,5.3216677777999998e+01,4.9680058332999998e+01," 53° 13' 0"""," 49° 40' 48"""
1401,755,"Иваньково-Ленинское II ""Ильинский родник""",2,6,95,"В окрестностях Иваньково-Ленинского городища «Шолом», к Ю от горо-дища на ровной площадке террасы Суры вокруг «Ильинского родника».
Открыто краеведом А.А. Макеевым в 2012-2013 гг. Обследованы экспе-дицией ЧГИГН (Н.С. Мясников) в 2012-2013 гг. (на селище II заложен шурф 1х1 м).
Материал представлен фрагментами горшковидной неорнаментирован-ной керамики с бугристой поверхностью с примесями шамота, фрагмента ло-щеной миски, глиняных дисков-сковородок, лощеного биконического пряслица с широким отверстием.",,,,,1,,3,4,11,1,2,0,0,0,,3,1,1,,779,779,5.4734761110999997e+01,4.6672711110999998e+01," 54° 44' 5"""," 46° 40' 22"""
1410,790,"Вожжинское II",2,3,38,"В 500 м к ЮЗ от с. Вожжи, в 1 км к ЮВ от Свияги, в верховьях балки, по дну которого протекает безымянный ручей - правый приток р. Свияги.",300,100,3000,70,3,3,3,5,3,0,3,1,0,0,,2,1,1,,788,788,,,"N54°43'42.54""","E48°20'04.34"""
675,43,"Бишевское",2,3,8,"В 0,3 км к СВ от с., за валом Бишевского городища. Культурный слой 10-15 см. Открыто АЭ КФАН в 1957 г. (А.Х. Халиков). Собрана именьковская керамика.
55,2331
48,4596",,,,15,,,2,7,1,1,2,0,0,0,139,,1,1,1121,60,60,5.5233100000000000e+01,4.8459600000000002e+01," 55° 13' 59"""," 48° 27' 35"""
1084,340,"Селище Шихан",2,3,7,"В 12 км к З от г. Альметьевска, на левом берегу р. Степной Зай.",,,,,,,2,1,1,0,1,0,0,0,1,,1,0,,469,469,,,,
669,575,"Бибавиев Колодец",2,2,65,"В овраге, разграничивающем поля сс. Аскулы и Бахилово, напротив ""Бибавиева Колодца"", на левом берегу оврага.",,,,,,,3,1,1,0,1,0,0,0,1,,1,0,,54,54,,,,
886,578,"Красный Пахарь II",2,2,65,"В 1 км к СВ от кладбища б.п. Красный Пахарь.",,,,,,,3,6,1,0,3,0,0,0,1,,1,0,,271,271,,,,
1230,579,"Уркина Гора",2,2,65,"В небольшой долине у подножия Уркиной Горы, на правом берегу р. Усы, недалеко от ее устья, близ д. Жигулиха. От реки с З на В площадку пересекают небольшие, но глубокие овраги.",200,150,30000,,3,,2,1,1,0,1,0,0,0,1,,1,0,,615,615,,,,
1323,709,"Покровская стоянка I",2,3,3,"В 1-1,2 км к северо-востоку от села на мысу надлуговой террассы (Энеолит, Именьковская)",,,30000,,3,,,,,0,,0,0,0,,,1,0,,714,714,,,,
1326,712,"Кузькинское II",2,3,5,"В 3,5 км к юго-западу от бывшей деревни Кузькино.",,,,,,,,,,0,,0,0,0,1,,1,0,,717,717,,,,
1352,713,"Имянлебашское II",2,3,19,"Расположено в 150 м к юго-западу от села Имянлебаш на отлогом склоне надлуговой террасы.",,,2925,,,,,,,0,,0,0,0,,,1,0,,741,741,,,,
1353,714,"Красноборское",2,3,21,"В 500 м к западу-юго-западу от поселка Новое Патрикеево, на вытянутой с востока на западе дюне, занятой лесопосадкой",,,,,,,,,,0,,0,0,0,,,1,0,,742,742,,,,
692,1,"Большетарханское",1,3,38,"В 4,5 км к ЮВ от с. Большие Тарханы (пр.б.р. Волги) и в 2 км к СВ от п. Тюкаши, на трех сильно вытянутых в сторону Волги мысах ее коренного берега.",1200,600,720000,80,8,,3,5,5,0,4,1,0,0,149,4,1,1,3105,77,77,5.4669011111000003e+01,4.8613580556000002e+01," 54° 40' 8"""," 48° 36' 49"""
694,2,"Большетарханское Ia",2,3,38,"В 700 м к ЮЗ от с. Большие Тарханы, на левом берегу р. Тарханки, л.пр.р. Кильны, пр.пр.р. Свияги, на краю надлуговой террасы. [У П.Н. Старостина - Большетарханское I селище].",300,100,30000,45,3,,2,3,1,0,3,0,0,0,149,,1,0,3097,79,79,5.4698180555999997e+01,4.8520522221999997e+01," 54° 41' 53"""," 48° 31' 14"""
695,3,"Большетарханское II",2,3,38,"В 1 км к ЮЗ от с. Большие Тарханы, на правом берегу р. Тарханки, на мысу надлуговой террасы.",250,120,30000,,3,,2,3,7,0,3,1,0,0,149,,1,0,3098,80,80,5.4695055556000000e+01,4.8517552778000002e+01," 54° 41' 42"""," 48° 31' 3"""
693,4,"Большетарханское I",2,3,38,"На месте I Большетарханской стоянки (в 300 м к ЮЮЗ от с. Большие Тарханы, на правом берегу р. Тарханки). [У П.Н. Старостина - Большетарханское III селище].",,,,,,,2,1,1,0,3,0,0,0,149,,1,0,,78,78,5.4698850000000000e+01,4.8528752777999998e+01," 54° 41' 56"""," 48° 31' 44"""
699,5,"Большетарханское VI",2,3,38,"В 1-1,2 км к СВ от с. Большие Тарханы, на левом берегу р. Тарханки, на краю террасы реки, на ровной площадке. [У П.Н. Старостина - Большетарханское IV селище].",130,80,10400,45,3,,2,3,1,0,3,0,0,0,149,,1,0,3102,84,84,5.4725513888999998e+01,4.8542227777999997e+01," 54° 43' 32"""," 48° 32' 32"""
697,6,"Большетарханское IV",2,3,38,"В 1,5-2 км к ЗЮЗ от с. Большие Тарханы, на левом берегу р. Тарханки. [У П.Н. Старостина - Большетарханское V селище].",,,,45,,,2,1,1,0,3,0,0,0,149,,1,0,3100,82,82,5.4695366667000002e+01,4.8510555556000000e+01," 54° 41' 43"""," 48° 30' 38"""
696,7,"Большетарханское III",3,3,38,"На территории с. Большие Тарханы, на правом берегу р. Тарханки.",,,,,,,2,1,1,0,3,0,0,0,149,,1,0,,81,81,5.4707736111000003e+01,4.8543208333000003e+01," 54° 42' 28"""," 48° 32' 36"""
1219,8,"Тюкашинское",3,3,38,"В 1,2 км к В от д. Тюкаши (пр.б.р. Волги), на мысу между берегом реки и оврагом.",,,,,,,6,1,8,0,1,0,0,0,149,,1,0,3205,604,604,5.4670383332999997e+01,4.8594405555999998e+01," 54° 40' 13"""," 48° 35' 40"""
1276,9,"Юматихинское I",2,3,38,"В 1,5 км к ЮЗ от места с. Юматиха, на правом берегу Волги, на краю коренной террасы.",60,30,1800,,2,,5,5,1,0,3,0,0,0,149,,1,0,,661,661,5.4835188889000001e+01,4.8861702778000002e+01," 54° 50' 7"""," 48° 51' 42"""
1277,10,"Юматихинское II",2,3,38,"В 1,8 км к ЮЗ от места с. Юматиха, на краю коренной террасы.",60,40,2400,,2,,5,5,1,0,3,0,0,0,149,,1,0,,662,662,5.4832619444000002e+01,4.8858827777999998e+01," 54° 49' 57"""," 48° 51' 32"""
1278,11,"Юматихинское III",2,3,38,"В 1,6 км к ЮЗ от места с. Юматиха и в 200 м к С от Юматихинского II селища, на краю коренной террасы.",80,40,3200,,2,,5,5,1,0,3,1,0,0,149,,1,0,,663,663,5.4835288888999997e+01,4.8858011111000003e+01," 54° 50' 7"""," 48° 51' 29"""
1279,12,"Юматихинское IV",2,3,38,"В 1,3 км к ЮЗ от места с. Юматиха, на краю надлуговой террасы Волги.",30,20,600,,2,,5,1,1,0,3,1,0,0,149,,1,0,,664,664,5.4837041667000001e+01,4.8865436111000001e+01," 54° 50' 13"""," 48° 51' 56"""
1203,13,"Тетюшское II",1,3,38,"На СВ окраине г. Тетюши, на мысу, образованном берегом Волги и оврагом, называемом ""Вшивая горка"".",120,25,2903,70,2,,2,7,5,0,2,1,1,1,149,3,1,1,3201,588,588,5.4943297221999998e+01,4.8845352777999999e+01," 54° 56' 36"""," 48° 50' 43"""
1204,14,"Тетюшское II",2,3,38,"К Ю от Тетюшского II городища.",,,,25,,,2,7,1,1,2,0,0,0,149,,1,0,3199,589,589,5.4942477777999997e+01,4.8844225000000002e+01," 54° 56' 33"""," 48° 50' 39"""
768,15,"Елховское",1,3,22,"В 4,5 км к ЮЗ от с. Сюкеево (пр.б.р. Волги), на высокой стрелке, образованной коренным берегом Волги и Елховским оврагом.",40,20,800,35,2,,2,7,8,0,2,1,0,0,140,3,1,1,1756,153,153,5.5063341667000003e+01,4.8999130555999997e+01," 55° 3' 48"""," 48° 59' 57"""
769,16,"Елховское",2,3,22,"В 4,3 км к ЮЗ от с. Сюкеево (пр.б.р. Волги), к СВ от Елховского городища. С СЗ ограничено оврагом, с ЮВ - обрывом к Волге.",,,5300,30,2,,2,7,8,1,2,0,0,0,140,,1,1,1755,154,154,5.5063691667000001e+01,4.9000461111000000e+01," 55° 3' 49"""," 49° 0' 2"""
1170,17,"Сюкеевское I",2,3,22,"В 2 км к Ю от с. Сюкеево (пр.б.р. Волги), на пологом мысу оврага ""Маринкин дол"".",300,250,75000,50,6,,3,1,1,0,4,0,0,0,141,,1,0,1802,555,555,5.5088038889000003e+01,4.9013294444000003e+01," 55° 5' 17"""," 49° 0' 48"""
1171,18,"Сюкеевское (Мазарки)",2,3,22,"В 1 км к СВ от с. Сюкеево (пр.б.р. Волги),  у урочища «Мазарки» [У П.Н. Старостина - Сюкеевское II селище].",,,2400,,2,,3,1,1,0,4,0,0,0,141,,1,0,1805,556,556,5.5106533333000002e+01,4.9031319443999998e+01," 55° 6' 24"""," 49° 1' 53"""
960,19,"Мордовско-Каратаевское I",2,3,22,"В 2 км к ЮВ от с. Мордовский Каратай (пр.б.р. Волги), на краю коренного берега Волги.",,,5350,30,2,,2,7,3,0,3,0,0,0,141,,1,1,1787,345,345,5.5107349999999997e+01,4.9104672221999998e+01," 55° 6' 26"""," 49° 6' 17"""
961,20,"Мордовско-Каратаевское II",2,3,22,"В 2,25 км к ЮВ от с. Мордовский Каратай (пр.б.р. Волги) и в 250 м к ЮВ от Мордовско-Каратаевского I селища, на краю коренного берега Волги. ЮВ сторона площадки селища заканчивается мысом, полого опускающимся к реке.",200,150,30000,,3,,2,7,3,0,3,0,0,0,141,,1,0,1788,346,346,5.5106219443999997e+01,4.9100852777999997e+01," 55° 6' 22"""," 49° 6' 3"""
962,21,"Мордовско-Каратаевское III",2,3,22,"В 2,5 км к ЮВ от с. Мордовский Каратай (пр.б.р. Волги) и в 250 м к ЮЗ от Мордовско-Каратаевского II селища, на краю коренного берега Волги. Площадка селища с З и с С ограничена крутыми оврагами, с В - обрывом к Волге.",100,50,5000,,2,,2,7,5,0,3,0,0,0,141,,1,0,1789,347,347,5.5105472222000003e+01,4.9095722221999999e+01," 55° 6' 20"""," 49° 5' 45"""
963,22,"Мордовско-Каратаевское IV",2,3,22,"В 2,6 км к ЮВ от с. Мордовский Каратай (пр.б.р. Волги) и в 70 м к Ю от Мордовско-Каратаевского III селища, на мысу коренного берега Волги. С С и Ю ограничено двумя оврагами, с В - берегом реки.",80,60,4800,40,2,,2,7,5,0,3,0,0,0,141,,1,0,1790,348,348,5.5104219444000002e+01,4.9095036110999999e+01," 55° 6' 15"""," 49° 5' 42"""
964,23,"Мордовско-Каратаевское V",2,3,22,"В 2,4 (2,7) км к ЮВ от с. Мордовский Каратай (пр.б.р. Волги) и в 50 м к ЗЮЗ от Мордовско-Каратаевского IV селища, на краю коренной террасы. С СЗ и ЮВ ограничено ложбинками, а с СВ - оврагом.",,,,9,,,2,7,8,0,3,0,0,0,141,,1,0,1791,349,349,5.5102541666999997e+01,4.9095419444000001e+01," 55° 6' 9"""," 49° 5' 44"""
