"IDMonument","MonNumber","MonName","IDMonType","IDState","IDRegion","MonDescription","MonLength","MonWide","MonSquare","MonLayer","IDSquareType","IDSoilType","IDWaterType","IDRiverReliefType","IDLocalReliefForm","MonDateToTheFort","IDArrangementType","FerrousMetallurgy","NonferrousMetallurgy","Agriculture","IDMapNumber","IDCurrentState","Active","Location Specified","MonTatarCodeNumber","IDMonCultureBelonging","AnotherCultureLayers","MonDecimalLatitude","MonDecimalLongitude","MonLatitude","MonLongitude"
"632","519","Ашна-Пандовское","1","4","77","На гряде Ашна-Панда, в ур. Кладовая Гора, в 300-400 м от русла, посередине между дд. Гулюшево и Кирзять, близ п. Совхозный, на левом берегу руч. Ашна, левого притока Суры. [В отчете П.Д. Степанова 1946 г. - городище Казна-Пандо (Налитовское).]
Находится на сложенной мелом гряде Ашна-Пандо, составляющей левый коренной берег руч. Ашна (левого притока Суры), в 300-400 м от русла, посередине между дд. Гулюшево и Кирзять, удаленными друг от друга на 10 км (близ п.Совхозный). К городищу подходит лесная проселочная дорога. Памятник занимает ур. Кладовая Гора - узкий и длинный мыс, более резко, чем соседние, вдающийся в долину; тянется он к Ю с уклоном к З, Мыс на десятки метров возвышается над долиной, а склоны его круты. С напольной стороны городищенская площадка
защищена системой их трех рвов и валов. Первый (южный) вал снабжен проходом, продолжением которого служит канавка на южном склоне рва, направленная к восточному краю мыса. Гребень вала возвышается над дном рва приблизительно на 6 м. Остальные валы и рвы значительно уступают первой линии укреплений по высоте, глубине и ширине. За валами - селище.
Площадка городища, покрытая лиственным лесом, имеет длину около 100 м при ширине порядка 50 м. Восточный участок ее занят вытянутым меридионально зигзагообразным раскопом площадью около 400 кв. м. У ее северо-западного и юго-западного краев нами заложены шурфы. Будучи недоступным для трактора и плуга, городище находится в хорошем состоянии, и лишь на южном конце имеется округлая, по-видимому, кладоискательская яма расплывчатого профиля. Повсеместно выражен культурный слой мощностью 0,5 м и более, насыщенный керамикой именьковского времени и костями животных. В небольшом количестве на городище найден и более ранний материал, встречающийся обычно в нижнем горизонте культурного слоя. Это - фатьяновский комплекс, представленный по краю площадки, и вещи I тысячелетия до н.э.","100","50","5000","50","2",,"2","5","5","false","2","true","false","true","118",,"true","true",,"17","17","54.417419444","46.633519444"," 54° 25' 3"""," 46° 38' 1"""
"633","520","Ашна-Пандовское","2","4","77","За валом Ашна-Пандовского городища.",,,,,,,"2","5","1","true","2","false","false","false","118",,"true","false",,"18","18","54.420880556","46.636783333"," 54° 25' 15"""," 46° 38' 12"""
"634","145","Бабий Бугор","1","3","37","В СЗ части Булгарского городища, на небольшом (длина ок. 30 м) мысу левого коренного берега р. Волги.",,,,"30",,,"5","5","7","false","2","false","false","false","150",,"true","false","2755","19","19","54.987108333","49.043613889"," 54° 59' 14"""," 49° 2' 37"""
"635","430","Бабий Бугор","2","3","37","На территории Болгарского городища, к В от Бабьего бугра, зафиксировано в раскопе 47 1957 г.",,,,,,,"5","5","1","false","2","false","false","false","150",,"true","false",,"20","20","54.986530556","49.043366667"," 54° 59' 12"""," 49° 2' 36"""
"636","582","Баганинское","2","2","69","В 250 м к С от З края с. Красная Багана, на правом берегу р. Б.Черемшан.","180","60","10800",,"3",,"2","5","3","false","3","false","false","false","162",,"true","false",,"21","21","54.626583333","51.211977778"," 54° 37' 36"""," 51° 12' 43"""
"637","282","Баганское","2","2","69","В 1,2 км к З от с. Красная Багана, по обе стороны оврага, образованного ручьем, впадающем в р. Б.Черемшан. [У Р.Г. Фахрутдинова - I и II местонахождения.]","300","60","18000",,"3",,"2","3","8","false","3","false","false","false","162",,"true","false",,"22","22","54.620072222","51.189147222"," 54° 37' 12"""," 51° 11' 21"""
"638","198","Базарноматакское I","2","3","6","В 2,5 км к СВ от с. Базарные Матаки, по дороге на с. Старые Челны, к З от моста через р. Ахтай, на левом берегу.","200","150","30000",,"3",,"2","3","1","false","3","false","false","false","151",,"true","false","894","23","23","54.935011111","49.957869444"," 54° 56' 6"""," 49° 57' 28"""
"639","199","Базарноматакское II","2","3","6","В 2,9 км к С от с. Базарные Матаки, в 0,4 км вниз по течению р. Ахтай от Базарноматакского I селища, на левом берегу р. Ахтай.",,,,,,,"2","3","1","false","3","false","false","false","151",,"true","false","895","24","24","54.938327778","49.952591667"," 54° 56' 18"""," 49° 57' 9"""
"640","187","Базяковское","2","3","5","В 800 м к СЗ от с. Базяково, у извилины правого берега р. Ахтай.","650",,,"75",,,"2","3","3","false","3","false","false","false","142",,"true","false","491","25","25","55.143913889","49.716119444"," 55° 8' 38"""," 49° 42' 58"""
"641","216","Байтеряковское I","2","3","42","В 400 м к С от д. Байтеряково, на правом берегу речки Бахты, правого притока р. Шенталы, на мысу надлуговой террасы, образованном берегом реки с Ю и оврагом с С. Поверхность мыса всхолмленная.","200","90","18000","40","3",,"2","3","8","false","3","false","false","false","133",,"true","false","3324","26","26","55.3648","50.3706"," 55° 21' 53"""," 50° 22' 14"""
"642","217","Байтеряковское III","2","3","42","В 1,5 км к ЮВ от д. Байтеряково, на правом берегу реки Бахты, на краю надлуговой террасы, возвышающемся на 7 м над уровнем реки.","450","110","49500","25","4",,"2","3","3","false","3","false","false","false","133",,"true","false","3326","27","27","55.3428","50.3759"," 55° 20' 34"""," 50° 22' 33"""
"643","218","Байтеряковское IV","2","3","42","В 2,5 км к ЮЮВ от д. Байтеряково, на правом берегу речки Бахты, на склоне надлуговой террасы, поднимающемся над уровнем лугов на 6-7 м.","255","130","33150","50","4",,"2","3","3","false","3","false","false","false","133",,"true","false","3327","28","28","55.337","50.3773"," 55° 20' 13"""," 50° 22' 38"""
"644","355","Байчугинское","4","3","24","В 100 м к Ю от Байчугинского I селища, на размытом краю надлуговой террасы. Затоплено.",,,,,,,"2","3","1","false","3","false","false","false","131",,"true","false",,"29","29","55.337736111","49.45105"," 55° 20' 16"""," 49° 27' 4"""
"645","356","Байчугинское I","2","3","24","Расположен к СВ от с. Ташкирмень, в 1,5 км к В от б.д. Байчуга, на краю надлуговой террасы. Затоплено.","50","20","1000","50","2",,"2","3","1","false","3","false","false","false","131",,"true","false","1839","30","30","55.339030556","49.449288889"," 55° 20' 21"""," 49° 26' 57"""
"646","357","Байчугинское II","2","3","24","В 0,3 км к С от Байчугинского I селища, в 1,6 км к ВСВ от б.д. Байчуга, на краю надлуговой террасы. Затоплено.","105","20","2100",,"2",,"2","3","3","false","3","false","false","false","131",,"true","false",,"31","31","55.341152778","49.447530556"," 55° 20' 28"""," 49° 26' 51"""
"647","136","Балымерское I","2","3","90","Непосредственно за валом и рвом, к СВ от Балымерского Шолома, на левом берегу Волги. На краю коренного берега.","60","50","3000","80","2",,"2","7","2","true","2","false","false","false","149",,"true","false","2760","32","32","54.8518","48.9579"," 54° 51' 6"""," 48° 57' 28"""
"648","143","Балымерское II (Турецкая Крепость)","1","3","90","В З км к северу от д. Балымеры, на левом берегу Филиппова оврага, левого притока Волги. В удалении от реки, на мысу треугольной формы.","60","35","2100","5","2",,"3","5","8","false","4","false","false","false","149",,"true","false","2758","33","33","54.890072222","48.941797222"," 54° 53' 24"""," 48° 56' 30"""
"649","137","Балымерское II","2","3","90","На ЮВ окраине д. Балымеры, в 300 м к ЮВ от Балымерского Шолома, на краю надлуговой террасы левого берега р. Волги, по левую сторону оврага.","250","140","35000","40","4",,"2","7","3","false","2","false","false","false","149",,"true","false","2761","34","34","54.84765","48.969486111"," 54° 50' 52"""," 48° 58' 10"""
"650","138","Балымерское III","2","3","90","На ЮВ окраине д. Балымеры, в 400 м к ЮВ от Балымерского Шолома,  на краю надлуговой террасы левого берега р. Волга, на месте Балымерского I городища.","80","70","5600",,"2",,"2","7","3","false","2","false","false","false","149",,"true","false","2762","35","35","54.8467","48.9636"," 54° 50' 48"""," 48° 57' 49"""
"651","139","Балымерское IV","2","3","90","В 100 м к ЮВ от Ю конца д. Балымеры, на левом берегу Волги. На левом берегу оврага у Ю конца села, в 100 м к З от Балымерского городища, на краю коренного берега.","120","60","7200","120","2",,"2","7","3","false","2","false","false","false","149",,"true","false","2763","36","36","54.846291667","48.966783333"," 54° 50' 47"""," 48° 58' 0"""
"652","140","Балымерское V","2","3","90","В 1—0,8 км к ЮВ от с. Балымеры, на левом берегу Волги. На краю надпойменной террасы левого берега р. Волги, за валом Балымерского I городища, в 400 м от него.","100","60","6000","90","2",,"2","7","3","false","2","false","false","false","149",,"true","false","2764","37","37","54.846711111","48.972758333"," 54° 50' 48"""," 48° 58' 22"""
"653","135","Балымерское городище Шолом","1","3","90","В c. Балымеры, на мысу коренного берега между оврагами на левом берегу Волги. Ныне почти полностью разрушено.",,,,,,,"2","7","5","false","2","false","true","true","149",,"true","false","2759","38","38","54.8498","48.9603"," 54° 50' 59"""," 48° 57' 37"""
"654","81","Баргузинское","2","3","22","В 1,5 км к Ю от с. Баргузино (пр.б.р. Амгамка), между оврагом ""Ак-Шура"" и берегом речки.","500","300","150000",,"8",,"3","1","1","false","4","false","false","false","141",,"true","false","1747","39","39","55.206586111","49.039019444"," 55° 12' 24"""," 49° 2' 20"""
"655","344","Батраковское","2","3","39","В 3 км к СЗ от д. Батраково, на склоне надлуговой террасы.","240","120","28800","40","3",,"6","5","3","false","4","false","false","false","126",,"true","false","3219","40","40","55.815902778","52.656011111"," 55° 48' 57"""," 52° 39' 22"""
"656","596","Бахиловское","2","2","65","В 1,5 км к З от с. Бахилово, в 3,6 км к В от г. Жигулевск, на пологом Ю склоне Бахиловского оврага. С З на В селище пересекает дорога Жигулевск - Бахилово.","240","180",,,,,"3","6","11","false","4","false","false","false","169",,"true","true",,"41","41","53.397777778","49.599030556"," 53° 23' 52"""," 49° 35' 57"""
"657","598","Белая Гора","1","2","50","В 1,5 к С от с. Подгоры, на площадке верхней части склона мысообразно выступающего отрога Жигулевских гор, носящего местное название ""Белая Гора"".","80","110","8800","15","2",,"5","5","8","false","2","false","false","false","170",,"true","true",,"42","42","53.343805556","50.119405556"," 53° 20' 38"""," 50° 7' 10"""
"658","540","Беловодское","1","4","78","В 1,5 км к В от с. Беловодье, в сторону от р. Суры, на одном из мысов коренного берега (имеющем мордовское название Ош-Пандо), более длинном и узком, чем соседние. Мыс длиной около 1 км тянется дугой с СВ на З и подходит к огибающему его с Ю и З ручью. Вдоль С края городища тянется дорога из Беловодья в Карсун. Большая часть мыса представляет собой заостренный хребет высотой в несколько десятков метров и лишь на конце выражена площадка длиной 100 м при ширине до 30 м. С напольной стороны она защищена рвом длиной 15 м, глубиной 4-5 м и коротким курганообразным валом. Как показала щурфовка, на площадке сохранился культурный слой мощностью до полуметра; это - сероватая супесь со щебнем, подстилаемая меловой скалой. Ввиду неприступности, городище распашке не подвергалось. На южном краю площадки, где весной интенсивно тает снег, встречается подъемный материал - керамика и кости животных.","100","30","3000","50","2",,"3","5","5","false","2","false","false","false","121",,"true","true",,"43","43","54.250372222","46.638427778"," 54° 15' 1"""," 46° 38' 18"""
"659","541","Беловодское","2","4","78","В 800 м к СВ от рва Беловодского городища, на треугольной площадке, ограниченной с двух сторон оврагами. При напольном (восточном) конце городищенского мыса, на расстоянии 800 м к СВ от рва, на треугольной площадке, ограниченной с двух сторон оврагами, обнаружен подъемный материал, сходный с тем, который встречается на городище. К настоящему времени культурный слой здесь частично разрушен бульдозером. Зона распространения подъемного материала имеет в поперечнике 20 м.",,,,,,,"3","5","5","false","2","false","false","false","121",,"true","false",,"44","44","54.255341667","46.646452778"," 54° 15' 19"""," 46° 38' 47"""
"660","258","Белозерское","2","3","6","Против Ю конца п. Белозерский, на краю надлуговой террасы.","200","100","20000",,"3",,"2","3","1","false","4","false","false","false","160",,"true","false",,"45","45","54.519891667","50.001069444"," 54° 31' 12"""," 50° 0' 4"""
"661","521","Белый Ключ","2","4","77","В 1 км к З от с. Белый Ключ, на краю надлуговой террасы, в 150 м к Ю от шоссе Ульяновск - Саранск.","65","60","3900",,"2",,"5","3","2","false","3","false","false","false","118",,"true","false",,"46","46","54.438886111","46.7927"," 54° 26' 20"""," 46° 47' 34"""
"662","584","Беляев Колодец","2","2","65","У верховьев Жукова и Точильного оврагов, в 100 м к ЮЗ от шоссе Жигули - Валы.",,,"1500",,"2",,"3","6","10","false","3","false","false","false","168",,"true","true",,"47","47","53.346519444","49.346558333"," 53° 20' 47"""," 49° 20' 48"""
"663","414","Березовогривский VI","4","3","5","В 2 км к ЗЮЗ от с. Березовая Грива, на песчаном останце ""Лисий остров"" надлуговой террасы л.б.р. Камы.",,,,,,,"2","3","7","false","2","false","false","false","142",,"true","false","561","48","48","55.200072222","49.717705556"," 55° 12' 0"""," 49° 43' 4"""
"664","203","Березовогривское","1","3","5","В 1,5—2 км к ЮЗ от с. Березовая Грива, на краю коренной террасы л.б.р. Камы, на высоком (ок. 25 м над поймой) мысу с крутыми склонами, в северной части Базяковского городища (бол. X-XIII вв.).
Данные по мониторингу (неправильные): 55°11'08'' 49°44'39''","90","80","7200",,"2",,"3","5","8","false","2","false","false","false","142",,"true","false","555","49","49","55.189061111","49.714019444"," 55° 11' 21"""," 49° 42' 50"""
"665","415","Березовогривское II","2","3","5","В 2,5-3 км к ЗЮЗ от с. Березовая Грива, на высоком коренном берегу р. Камы.","40","10","400",,"2",,"5","5","1","false","2","false","false","false","142",,"true","false","550","50","50","55.183988889","49.703272222"," 55° 11' 2"""," 49° 42' 12"""
"666","219","Березовское","1","3","42","В 4,5 км к В от с. Кубассы, на мысу коренной террасы высотой 20 м, между оврагами, в 1,2-1,5 км к СВ от пионерлагеря ""Чайка"". Высота мыса 20-25 м. Вал дуговидной формы, высота вала 5 м от уровня площадки , глубина рва 4 м [В Археологической карте Татарстана - Кубасское (Березовское) городище].","110","100","11000","50","3",,"2","5","5","false","4","false","false","false","133","4","true","false",,"51","51","55.390897222","50.463852778"," 55° 23' 27"""," 50° 27' 50"""
"667","624","Березовый Солонец I","2","2","65","В 0,5 км к СЗ от с. Березовый Солонец, на плато, известном как ""Мокрая поляна"", по обе стороны дороги. [У В.В. Гольмстен - № 1176; у В.И. Пестриковой - местонахождение].",,,"228000",,"8",,"3","6","1","false","3","false","false","false","173",,"true","false",,"52","52","53.252902778","49.547791667"," 53° 15' 10"""," 49° 32' 52"""
"668","625","Березовый Солонец II","3","2","65","Находится в 3 км к ЮВ от с.Березовый Солонец, в 2 км к СВ от места слияния 2 ветвей Аскульского оврага, у южной опушки лиственного леса.",,,"54000",,"5",,"3","6","2","false","3","false","false","false","173",,"true","false",,"53","53","53.242033333","49.601675"," 53° 14' 31"""," 49° 36' 6"""
"669","575","Бибавиев Колодец","2","2","65","В овраге, разграничивающем поля сс. Аскулы и Бахилово, напротив ""Бибавиева Колодца"", на левом берегу оврага.",,,,,,,"3","1","1","false","1","false","false","false","1",,"true","false",,"54","54",,,,
"670","390","Бикеевское","3","3","22","На СВ окраине д. Бикеево (л.б.р. Большой Шак-Ян, л.пр.р. Сухая Улема).","150","100","15000",,"3",,"3","1","1","false","4","false","false","false","140",,"true","false","1748","55","55","55.245336111","48.832980556"," 55° 14' 43"""," 48° 49' 59"""
"671","391","Бикеевское I – II","2","3","22","В 3,5 км к В от д. Бикеево (л.б.р. Большой Шак-Ян, л.пр.р. Сухая Улема).","200","200","40000","40","4",,"6","1","1","false","4","false","false","false","140",,"true","false","1750","56","56","55.244661111","48.885219444"," 55° 14' 41"""," 48° 53' 7"""
"672","200","Биктемировское","2","3","6","Около с. С. Биктемирово, на правом берегу р. Красный Ахтай.",,,,,,,"3","3","1","false","3","false","false","false","151",,"true","false","896","57","57","54.868266667","49.954458333"," 54° 52' 6"""," 49° 57' 16"""
"673","491","Биляр-Озерское II","3","3","32","В 1,5 км к ССВ от с. Биляр-Озеро (л.б.р. Б. Черемшан). [У Р.Г. Фахрутдинова - Белоозерское местонахождение.]",,,,,,,"5","2","1","false","4","false","false","false","160",,"true","false",,"58","58","54.514377778","50.487969444"," 54° 30' 52"""," 50° 29' 17"""
"674","42","Бишевское","1","3","8","На оконечности высокой террасы на южной окраине поселка, на террито-рии предприятия (бывшего пенькового завода), в 300 м от с. (1957 г.). С напольной стороны – кокошникообразный вал (до 5-6 м) и дуговидный заплывший ров. Площадка подтреугольная, культурный слой 5 см. Разрушено при строительстве моста через Свиягу.
Известно с XIX в. Описано АЭ КФАН в 1957 г. (А.Х. Халиков). Раскопки (охранные) в 2002 г. проведены НЦАИ (М.Ш. Галимова).","115","65","7475","6","2",,"2","7","1","false","2","false","false","false","139","6","true","true","1117","59","59","55.232652778","48.458861111"," 55° 13' 58"""," 48° 27' 32"""
"675","43","Бишевское","2","3","8","В 0,3 км к СВ от с., за валом Бишевского городища. Культурный слой 10-15 см. Открыто АЭ КФАН в 1957 г. (А.Х. Халиков). Собрана именьковская керамика.
55,2331
48,4596",,,,"15",,,"2","7","1","true","2","false","false","false","139",,"true","true","1121","60","60","55.2331","48.4596"," 55° 13' 59"""," 48° 27' 35"""
"676","508","Блюдо I (Николаевское)","1","1","79","В 1,5 км к С от с. Николаевка, на стрелке, образованной двумя сходящимися отрогами небольшого оврага, выходящего устьем в сторону р. Чеберчинки, до которой около 1,5 км. В овраге справа течет ручей.",,,,"20",,,"3","5","5","false","2","false","false","false","118",,"true","false",,"61","61","54.347822222","46.537897222"," 54° 20' 52"""," 46° 32' 16"""
"677","509","Блюдо II (Николаевское)","1","1","79","На узком мысу, образованном сходящимися оврагами, в 500 м к С от городища Блюдо I.",,,,,,,"3","5","5","false","2","false","false","false","118",,"true","false",,"62","62","54.351636111","46.535191667"," 54° 21' 6"""," 46° 32' 7"""
"678","359","Богородицкий","4","3","24","В 0,4 км к В от б. д. Богородицкое, к ЮЗ от с. Именьково, на краю первой надпойменной террасы р. Камы.",,,,,,,"2","3","1","false","2","false","false","false","132",,"true","false",,"63","63","55.428802778","49.680513889"," 55° 25' 44"""," 49° 40' 50"""
"679","360","Богородицкое I","2","3","24","На территории б.д. Богородицкое (пр.б.р. Брыска), на краю надлуговой террасы. С С ограничено небольшим овражком.","300","30","9000",,"2",,"2","3","8","false","2","false","false","false","132",,"true","false","1857","64","64","55.426125","49.666266667"," 55° 25' 34"""," 49° 39' 59"""
"680","522","Болтаевское","2","4","77","В 5 км к ЮВ от п. Сурское, в 1-2 км к С от с. Болтаевка, по прав. стор. дор. из Болтаевки к асфальт. шоссе Ульяновск-Сурское, в 0,5 км от шоссе, на берегу ручья, над старицей р. Суры. Занимает мыс, огранич. с С ручьем, с З поймой, с Ю небольш. оврагом, прорезающ. уступ террасы. На территории поселения установлены телеграфные столбы. Основная часть селища распахивается и на поверхности в большом количестве встречается подъемный материал - керамика, кости животных и железный шлак. [У Е.П. Казакова и др. - в 1 км к СВ от с. Болтаевка, на мысу надлуговой террасы, между р. Сурой и правым ее притоком, к В от дороги из Сурского в Болтаевку, мыс пересекает линия столбов.]","150","80","12000","30","3",,"5","3","8","false","3","true","false","false","118",,"true","true",,"65","65","54.421383333","46.771708333"," 54° 25' 17"""," 46° 46' 18"""
"681","600","Большая Рязань I","3","2","65","В 1 км к ЮВ от с. Большая Рязань, в 0,25 км к Ю от ж/д разъезда, в 0,4 км к ЮВ от вышки ретранслятора, рядом с шоссе М5.","80","60","1400",,"2",,"3","6","10","false","1","false","false","false","172",,"true","false",,"66","66","53.275344444","49.316269444"," 53° 16' 31"""," 49° 18' 59"""
"682","601","Большая Рязань II","2","2","65","В 350 м к З от с.Большая Рязань, на правой стороне Попова оврага.",,,"7000","65","2",,"3","6","2","false","1","false","false","false","172",,"true","true",,"67","67","53.255166667","49.285269444"," 53° 15' 19"""," 49° 17' 7"""
"683","392","Большеатрясское I","2","3","8","К СЗ от с. Большие Атряси (б.р. Шонга, пр.пр.р. Улема), на пологом склоне ""Мунчала буа"".","550","220","121000",,"8",,"3","6","1","false","4","false","false","false","140",,"true","false","1122","68","68","55.11335","48.7602"," 55° 6' 48"""," 48° 45' 37"""
"684","375","Большеатынское VI","3","3","30","В 500 м к ЗСЗ от северного конца с. Большие Аты (л.б.р. Зай) и в 300 м к ЮЗ от сельского кладбища, на пашне, у края террасы суходола.",,,,,,,"6","1","1","false","4","false","false","false","136",,"true","false","2271","69","69","55.406138889","51.7476"," 55° 24' 22"""," 51° 44' 51"""
"685","61","Большекарлангинское","1","3","14","В 2 км к ЮЗ от с. Большая Карланга (пр.б.р. Свияга), на мысу коренного берега, между ручьем и правым берегом реки.
54,9761 48,3906","60","50","3000","60","2",,"2","5","8","false","2","true","false","false","148","3","true","true","1377","70","70","54.9761","48.3906"," 54° 58' 34"""," 48° 23' 26"""
"686","62","Большекарлангинское I","2","3","14","В 2 км к ЮЗ от с. Большая Карланга. Примыкает к городищу с напольной стороны.
54,9762 48,3919",,,"25000",,"3",,"2","5","1","true","2","false","false","false","148",,"true","true","1372","71","71","54.9762","48.3919"," 54° 58' 34"""," 48° 23' 31"""
"687","63","Большекарлангинское II","2","3","14","В 2,4 км к ЮЗ от с. Большая Карланга (пр.б.р. Свияга) и в 0,4 км к ЮЗ от Большекарлангинского городища.
54,9724 48,3925",,,"50000",,"4",,"2","5","1","false","2","false","false","false","148",,"true","true","1373","72","72","54.9724","48.3925"," 54° 58' 21"""," 48° 23' 33"""
"688","64","Большекарлангинское III","2","3","14","В 3,2 км к ЮЗ от с. Большая Карланга (пр.б.р. Свияга) и в 1,2 км к ЮЗ от Большекарлангинского городища.
54,9642 48,3961",,,"50000",,"4",,"2","5","1","false","2","false","false","false","148",,"true","false","1374","73","73","54.9642","48.3961"," 54° 57' 51"""," 48° 23' 46"""
"689","65","Большекарлангинское IV","2","3","14","В 4,1 км к ЮЗ от с. Большая Карланга (пр.б.р. Свияга) и в 2,1 км к ЮЗ от Большекарлангинского городища",,,"2500",,"2",,"2","5","1","false","2","true","false","false","148",,"true","false","1375","74","74","54.956680556","48.394572222"," 54° 57' 24"""," 48° 23' 40"""
"690","66","Большекарлангинское V","2","3","14","В 5 км к ЮЗ от с. Большая Карланга (пр.б.р. Свияга) и в 3 км к ЮЗ от Большекарлангинского гродища, на краю коренной террасы.",,,,,,,"2","5","1","false","2","false","false","false","148",,"true","false","1376","75","75","54.948925","48.394013889"," 54° 56' 56"""," 48° 23' 38"""
"691","580","Большерязанское","3","2","65","В 1,2 км к СЗ от с. Большая Рязань, 0,5 км к ССЗ от ретранслятор.",,,,,,,"3","6","10","false","1","false","false","false","172",,"true","false",,"76","76","53.271577778","49.274383333"," 53° 16' 18"""," 49° 16' 28"""
