Название,Описание,Эпоха,Вторая культура,Тип,Y,X,id
Староселищенское местонахождение,"Луговой, поселок. Расположено к востоку от поселка на северном берегу озера Отарное, на краю надлуговой террасы, разрезанной логами в местности «Старое селище». В 1894 г. обследовано Ф. Д. Нефедовым. По его описанию, местность находится к востоку от деревни Ананьеве, на коренном берегу Камы, над поймой с озерами. Берег песчаный, кое-где покрытый кустарником или совершенно открытый. Ветром здесь надуло песчаные бугры и обнажило в разных местах человеческие кости, глиняные черепки и остатки очагов и каменок. При раскопках, сделанных в разных местах, им были обнаружены в одном – бронзовое овальное украшение с крестом посередине и бронзовый трилистник, в другом–конек-привеска. В 1930 г. местность исследовалась отрядом экспедиции АИ МГУ под руководством Н. Ф. Калинина, отметившим на месте ананьинского селища остатки культурного слоя с находками мелких обломков болгарской посуды. В 1959 г. отрядом экспедиции ИЯЛИ по обеим сторонам восточного лога собрана керамика гончарная позднеболгарская. или, скорее, татарская, сильно окатанная, со следами лощения, желто-, кирпично- и буро-красная с мелким песком в тесте и гончарная русская красновато-бурая и светло-серая с большим количеством песка в тесте. Все описанные находки свидетельствуют о возможности существования в местности «Старое селище» поселений позднеболгарского и (или) татарского. Название местности «Иске-Юрт» («Старое селище»), возможно, свидетельствует о времени XIV–XVI вв., ибо так на территории Татарии называются у местного населения поселения этого периода.",2,17,3,"52,162239","55,707697",18
Урматское кладбище I,"Русский   Урмат,   деревня Высокогорского р-на, речка Урматка, левый приток реки Казанка. К северу от окраины деревни на пашне было известно до восьми надгробий и обломков от них. Одно из них (145х35х17 см)  остроконечное, очень примитивной обработки с врезанной трудночитаемой некаллиграфической надписью на арабско-древнебулгарском    языке отсюда изъято и сдано на хранение в Государственный музей Татарской   АССР.   Датируется   оно 1281–1282 гг. Остальные (109х57, 85Х51Х25, 151Х44, 37Х20, 115Х50Х14 см) с рельефной арабско-татарской надписью и рельефным орнаментом на бордюре и под стрельчатой   аркой   разрозненно лежали у самой окраины села. В настоящее время от них осталось только два обломка. Дата их 1-я половина XVI в. Несомненно, здесь находилось кладбище первоначальной  Иски-Казани.  Эстампажи сняты в 1951 г.",2,17,12,"49,657578","56,015186",19
Урматское кладбище I,"Русский   Урмат,   деревня Высокогорского р-на, речка Урматка, левый приток реки Казанка. К северу от окраины деревни на пашне было известно до восьми надгробий и обломков от них. Одно из них (145х35х17 см)  остроконечное, очень примитивной обработки с врезанной трудночитаемой некаллиграфической надписью на арабско-древнебулгарском    языке отсюда изъято и сдано на хранение в Государственный музей Татарской   АССР.   Датируется   оно 1281–1282 гг. Остальные (109х57, 85Х51Х25, 151Х44, 37Х20, 115Х50Х14 см) с рельефной арабско-татарской надписью и рельефным орнаментом на бордюре и под стрельчатой   аркой   разрозненно лежали у самой окраины села. В настоящее время от них осталось только два обломка. Дата их 1-я половина XVI в. Несомненно, здесь находилось кладбище первоначальной  Иски-Казани.  Эстампажи сняты в 1951 г.",2,17,4,"49,657578","56,015186",20
Утернясьское городище,"Утернясь, деревня Сабинского р-на, правый берег реки Малая Меша. Находится возле деревни на мысу, образуемом речкой Кала-Илга и оврагом. Окружено системой укреплений из двух рвов и одного вала между ними. По словам жителей, на городище находили различные вещи и кирпичи. Обследовано этнографической экспедицией 1925 г., организованной Научным обществом Татароведения, руководимой Н. И. Воробьевым. Судя по расположению его в столь отдаленном районе Заказанья, его возникновение следует относить ко времени поздних болгар или даже к эпохе Казанского ханства.",2,17,1,"50,407969","56,113308",21
Чаллынское (Тябердинское) городище,"Тябердино-Челны, село Рыбно-Слободского р-на, левый берег реки Шумбут. Расположено к юго-востоку от села на высоком берегу реки (высота над поймой 24 м) на мысу, образуемом крутым обрывом к реке с юго-запада и глубоким, широким оврагом с юго-востока. С двух сторон – сложная система искусственных земляных укреплений из четырех дугообразных валов и рвов. В них имеется лишь один проезд с северо-западной стороны. Форма площадки подквадратная. Размеры ее 100х115 м. Поверхность ранее распахивалась. Первый и третий валы сохранились частично, четвертый почти совсем исчез и только второй сохранился целиком. Вокруг городища, примыкая к нему, расположены обширные селища общей площадью 57 га. Впервые городище обследовано Н. А. Толмачевым в 1850 г. В 1948 г. подъемный материал собран этнографической экспедицией КФАН. Раскопки на нем начаты в 1955 г. АЭ ИЯЛИ. Вскрыта площадь 320 кв. м. Стратиграфия: 1) 0–20 см – дерн и пахотный суглинистый чернозем ореховатый, местами коричневатая супесь; 2) 20–30 см – коричневый суглинок гумусированный, ореховатой структуры с включением известкового мелкого камня; 3) 30–40– 50 см – суглинок с розоватым мергелем и мелким известняком. Культурные остатки слоя – большое количество гончарной керамики кирпично- и желто-красного, красновато-коричневого и серого цветов от сосудов различных форм, богато украшенных лощением и разнообразным орнаментом. Интересен и обломок трипода. Есть небольшое количество лепной керамики из глины с толченой раковиной с «веревочным», ямочным, гребенчатым и резным орнаментом. Из других глиняных изделий встречены напрясла и бусы. Из металлических вещей имеются железные ножи, ключ, стамеска, ложкарь, гвозди, скобки, ручки, кольца. Найдены также куски железного шлака. Есть обломок жернова. При раскопках вскрыты ямы различной формы и размеров (хранилища, сбросовые ямы и остатки жилищ). В 1962 г. от учителя Кутлу-Букашевской школы Сибгатуллина получены сведения о находках на площади городища железной сабли и сошника. В 1971 г. городище осмотрено разведочным отрядом ТАЭ (С. В. Кузьминых). Выяснилось, что у юго-восточной стороны городища строительными работами нарушен культурный слой со значительными остатками кузнечного производства. В музее Тябердино-Челнинской восьмилетней школы хранится большая коллекция керамики и вещевого материала, в том числе железные топоры. Вещевые остатки городища находят аналогии в поздних слоях болгарских памятников и в памятниках эпохи Казанского ханства. На этом основании, учитывая также сведения письменных источников, Н. Ф. Калинин датировал его XIV – началом XVI в.",2,17,1,"50,664933","55,636989",22
Чекмасинское местонахождение,"Русский   Урмат,  деревня. К юго-востоку от деревни в урочище «Чекмасы» на пашне имеются следы прежнего жилья, где, по рассказам старожилов, лет 300 назад жили татары и где в 50-х годах прошлого столетия были обнаружены татарские серебряные монеты в кувшине и половинка креста-складня. В этом же урочище В. И. Заусайловым при раскопках были обнаружены два железных висячих замка, обломки железного котла и две серебряные монеты",2,17,3,"49,665014","56,008747",23
Читинское кладбище,"Чита, село. К юго-западу от села находится старое нaдгробие (142Х49х20 м) из известняка в виде прямоугольной плиты с двухскатным верхом. На лицевой стороне надпись некаллиграфическим врезанным арабским шрифтом. На бордюре врезанный геометрический орнамент. Надпись из-за выветренности известняка не поддается чтению. Пока не имеется и других аналогов этому памятнику. Кладбище раскапывалось В. Е. Стояновым. Раскопанные могилы имели глубину до 105 см. Костяки ориентированы головой на северо-запад с черепом на правом виске (кроме одного–на левом). В погребениях найдены остатки истлевших рубашек из красной ткани с вышивкой – позументом на рукавах. В одном погребении найдена сердоликовая бусина у височной кости. Предположительно кладбище датируется XV в. В 1948 г. снят эстампаж.",2,17,4,"49,917431","55,721908",24
Читинское кладбище,"Чита, село. К юго-западу от села находится старое нaдгробие (142Х49х20 м) из известняка в виде прямоугольной плиты с двухскатным верхом. На лицевой стороне надпись некаллиграфическим врезанным арабским шрифтом. На бордюре врезанный геометрический орнамент. Надпись из-за выветренности известняка не поддается чтению. Пока не имеется и других аналогов этому памятнику. Кладбище раскапывалось В. Е. Стояновым. Раскопанные могилы имели глубину до 105 см. Костяки ориентированы головой на северо-запад с черепом на правом виске (кроме одного–на левом). В погребениях найдены остатки истлевших рубашек из красной ткани с вышивкой – позументом на рукавах. В одном погребении найдена сердоликовая бусина у височной кости. Предположительно кладбище датируется XV в. В 1948 г. снят эстампаж.",2,17,12,"49,917431","55,721908",25
Ямашурминское кладбище,"Ямашурма, село Высокогорского р-на, правый берег речки Ямашурминки, левого притока реки Казанка. У восточной окраины села на современном кладбище имеется семь надгробных плит, в том числе обломок из серого известняка (130Х53Х19, 139Х51Х24, 105х48х7. 50Х50Х22, 100Х32Х16, 188Х46Х Х17, 186Х48Х7 см). Одно надгробие конца 1384 г. с врезанной некаллиграфической надписью на арабском и новобулгарском языках с еле заметным двускатным верхом. Остальные датируются первой половиной XVI в., среди них один с очень мелкой врезанной некаллиграфической надписью, на других рельефная надпись на арабско-татарском языках. Экспедицией КФАН 1945 г. найдены фрагменты гончарной серо-бурой керамики.",2,17,12,"49,604128","55,979883",26
Ямашурминское кладбище,"Ямашурма, село Высокогорского р-на, правый берег речки Ямашурминки, левого притока реки Казанка. У восточной окраины села на современном кладбище имеется семь надгробных плит, в том числе обломок из серого известняка (130Х53Х19, 139Х51Х24, 105х48х7. 50Х50Х22, 100Х32Х16, 188Х46Х Х17, 186Х48Х7 см). Одно надгробие конца 1384 г. с врезанной некаллиграфической надписью на арабском и новобулгарском языках с еле заметным двускатным верхом. Остальные датируются первой половиной XVI в., среди них один с очень мелкой врезанной некаллиграфической надписью, на других рельефная надпись на арабско-татарском языках. Экспедицией КФАН 1945 г. найдены фрагменты гончарной серо-бурой керамики.",2,17,4,"49,604128","55,979883",27
Богишевское (Карташиха) селище,"Карташиха, бывшее село. Располагалось к юго-юго-востоку от села на краю надлуговой террасы у юго-восточной оконечности озера Черное, на северо-восточном его берегу, возвышающемся над озером на 9 м. Размеры селища примерно 350х150 м. Культурный слой – гумированная супесь – имеет толщину около 30 см. В настоящее время памятник подтоплен Куйбышевским водохранилищем. Селище открыто в 1952 г. В это же время раскопано 48 кв. м. Вскрыта часть жилища. Вещевой материал состоит из обломков грубой лепной керамики с шамотом красноватого и серого цветов, с орнаментом в виде нарезок и насечек; из гончарной керамики желтого цвета с более мелким шамотом в глине; гончарной керамики серой и черной русской, глиняного грузила, железных черешковых ножей с прямой спинкой, железного гарпуна, костей животных, железного шлака и обломков других вещей. Селище синхронно I–II Карташихинским могильникам. Дополнительными обследованиями 1961 и 1968 гг. на месте селища сделаны находки болгарской керамики.",2,32,2,"49,165814","55,415181",28
"Большеотарская стоянка IV (""Жареный бугор"",  ""Зеленый Бор"")","Большие Отары, поселок. Расположена к югу от поселка на высокой песчаной дюне надлуговой террасы, в урочище, известном у местных жителей под названием «Жареный бугор». Стоянка открыта и осмотрена в 1883 г. Н. Ф. Высоцким, повторно им же и В. Ф. Смолиным в 1919 и 1925 гг., а в 1950 и 1952 гг. обследована А. X. Халиковым. Среди материалов, собранных на стоянке на площади 60х20 м, выделяется три культурных комплекса: немногочисленная керамика волго-камской неолитической культуры; керамика с ямочно-гребенчатым орнаментом, характерным для балахнинской неолитической культуры; позднеприказанская керамика  атабаевского и маклашеевского этапов. К первым двум комплексам, очевидно, принадлежат кремневые пластины, отщепы и отдельные каменные    орудия – наконечники стрел листовидной и ромбической форм, скребки.",6,38,2,"49,094144","55,705917",29
