Название,Описание,Эпоха,Вторая культура,Тип,Y,X,id
Черкинские находки,"Черки, ряд с. и д. Буинского р-на (Черки-Кильдуразы, Ишмяково, Кощаково, Гришине) по л. берегу Свияги. Из указанных населенных пунктов имеются медные и бронзовые предметы: в коллекции В. И. Заусайлова — тесло, удлиненное, прямоугольное в сечении, с расширенным лезвием ; оригинальное долото с горбатой спинкой и желобчатым лезвием, трапециевидное в сечении ; наконечник копья с удлиненной несомкнутой втулкой, с листовидным зауженным пером, крылья которого переходят на бока втулки ; в коллекции ГМТР — обломок лезвийной части вислообушного топора; двулезвийный нож с листовидным клинком, перехватом и ромбической пяткой черенка; двулезвийный нож с листовидным зауженным к острию клинком и длинным заостренным, но загнутым на конце черенком; наконечник копья с короткой сомкнутой втулкой, листовидным пером с круглым в сечении стержнем и боковым ушком. Нож с заостренной пяткой черенка из ГМТР характерен для энеолитических культур. Тесло, наконечник копья с разомкнутой втулкой, обломок вислообушного топора, нож с перехватом, очевидно, датируются сейминским хронологическим горизонтом и связаны с абашевскими или срубными древностями. Долото с горбатой спинкой и наконечник копья с ушком относятся к предананьинскому горизонту. Определенно с приказанскими древностями из них может быть связан лишь наконечник.",5,36,3,"48,266469","55,105369",11
Нижнеуслонское поселение II,"Нижний Услон, с. Второй слой Нижнеуслонского поселка связан с находками фрагментов чирковско-сейминской керамики.",5,45,2,"48,967647","55,712942",12
Беловолжские находки II,"Беловолжка, д. Из д. в коллекции В. И. Заусайлова есть медные или бронзовые нож, двулезвийный, с листовидным клинком с притупленной пяткой черенка; серп с крюком, узкий, слабо изогнутый, с кривым лезвием и обломок предмета . Серп и нож связаны скорее всего со срубными древностями. ",5,43,3,"48,096575","55,047064",13
Большеатрясские находки,"Большие Атряси, с. Из с. в коллекцию В. И. Заусайлова попал бронзовый массивный перстень с печаткой, скорее всего относящийся ко времени Казанского ханства. Кольцо обрамлено рельефным изображением трилистников. Щиток перстня с боков укреплен растительным и жгутообразным орнаментом. Шестиугольная площадка заполнена арабской надписью в обратном изображении.",2,17,3,"48,770506","55,103428",14
Исаковское селище I,"Исаково, с. На месте Исаковской II стоянки выявлен культурный слой толщиной 25 см, содержавший фрагменты гончарной керамики.",2,17,2,"48,602147","55,731244",15
Кугальнинское местонахождение,"Кугальна, д. В 1 км к С от д. у края надлуговой террасы встречено несколько фагментов гончарной красноглиняной керамики.",2,17,3,"48,386922","54,942278",16
Патрикеевские находки IV,"Патрикеево, с. Из с. в коллекции В. И. Заусайлова хранятся железные фигурное кресало, боевой топорик с оттянутым обухом и клиновидным лезвием, костяные молоточек и цилиндрической формы с рифлением навершие, характерные для позднебулгарского времени.",2,17,3,"48,578753","55,465247",17
Пролей-Кашинские находки,"Пролей-Каша, с. В 1881 г. в с. найдена бронзовая чаша с серебряной инкрустацией.",2,17,3,"48,782061","54,805267",18
Свияжское городище,"Свияжск, пос. Верхнеуслон-ского р-на, л. б. Свияги, пр. пр. Волги. На месте пос. Свияжск до построения русского Свияжска предполагается городище. Известны находки болгарских вещей.",2,17,1,"48,658972","55,772361",19
Сюкеевское кладбище,"Сюкеево, с. Камско-Устьинского р-на, пр. б. Волги. Расположено между селами Сюкеево и Мордовский Каратай. Местное население называет «Исхи-Зират» («Мазарки»).",2,17,4,"49,043339","55,118233",20
Черки-Бибкеевские находки II,"Черки-Бибкеево, с. Из с. в коллекции В. И. Заусайлова имеются бронзовый замок в виде фигурки барана, обломок бронзовой дужки от замка с изображением змеиной головки и железный боевой топор с молоточкообразным обухом, округлыми щековицами и сильно оттянутым лезвием (ширина его вдвое больше длины топора).",2,17,3,"48,357622","55,127114",21
