name,descr,epoch,culture,second,type,y,x,id
Ага-Базарское местонахождение,"Куйбышев, город. Летом 1963 г. разведкой ТАЭ на размытой части террасы в районе урочища «Ага-Базар» собрана приказанская керамика.",5,36,,3,48.986967,55.007022,15
Ага-Базырский клад монет,"Куйбышев, город. С урочища «Ага-Базар» происходит клад медных джучидских монет.",2,18,,8,48.985822,55.006742,16
Агнеевское селище I,"Агнеевка, деревня Куйбышев­ского р-на, правый берег реки Утка, левого притока Волги. Расположено в 1 км к северо-востоку от деревни. С северо-восточной и юго-западной сторон ограничено оврагами. Распахивается, кроме прибрежной полосы. Размеры по подъемному материалу и зачисткам, установленные разведкой ТАЭ 1962 г.—320Х310 м. Собрана гончарная булгарская керамика раннего периода, в том числе кухонная с растительной примесью. Культурный слой более 40 см.",2,11,,2,49.562572,54.715297,17
Агнеевское селище II,"Агнеевка, деревня. Расположено в 100 м к западу от Агнеевского селища I. Отделяется от него оврагом. Распахано. Пло­щадь 560000 кв. м. Культурный слой 20—30 см. Материал — булгарская и гончарная керамика.",2,15,,2,49.555875,54.7151,18
Агнеевское селище III,"Агнеевка, деревня. Расположено в северо-восточной части деревни и далее в направле­нии деревни Даниловка, занимая площадь 700Х450 м. Распахивает­ся. Разведкой ТАЭ 1962 г. собрана гончарная  булгарская  керамика раннего периода. Материал может быть связан с комплексом Сувара, расположенным в 200 м от него в сторону северо-запада.",2,11,,2,49.551069,54.712719,19
Агнеевское селище IV и могильник,"Агнеевка, деревня. Расположены в 150 м к юго-юго-западу от деревни, по дороге в де­ревню Данилока. Неоднократно здесь были найдены человеческие кости и вещи. Признаки кладбища и поселения выявлены работами тридцатых годов. На глубине 30 см открыто погребение, ориентированное головой на запад, без вещей. Оно залегало в культурном слое, характеризующемся булгарской гончарной и лепной керамикой раннего периода и находками в виде пряслица, наконечника стрелы, пряжки времени Х—XII вв. Время функционирования кладбища и селища определяется     исследователями XII—XIV вв.",2,15,,9,49.555608,54.709681,20
"Бабий Бугор городище, могильник","Куйбышев, город. Урочище «Бабий Бугор» расположено на территории Булгарского городища в северо-западной его части, на небольшом (длина около 30 м) мысу левого коренного берега Волги. Данный памятник стал привлекать внимание исследователей еще с XIX столетия. Сравнительно полно он изучен в 1947 и 1948 годах под руководством А. М. Ефимовой. Исследователь на всех участках раскопа зафиксировала слой догородского поселения, относящийся к азелинской и именьковской культурам. Азелинские материалы представлены главным образом керамикой. ",3,100000000000008,,2,49.043542,54.987233,21
Базарно-Матакское селище I,"Базарные Матаки, село. Расположено в 2,5 км к северо-востоку от села по дороге на село Старые Челны, в 0,3 км к западу от моста. Протянулось вдоль реки на 200 м, вглубь—на 150 м. Материал—именьковская и булгарская домонгольского периода керамика. Выявлено в 1946 г.",2,11,,2,49.957553,54.933747,22
Базарно-Матакское селище II,"Базарные Матаки, село Алькеевского р-на, левый берег реки Ахтай. Расположено в 2,9 км к северу от села в 0,4 км по течению от Базарно-Матакского селища. Распахано. Подъемный материал—именьковская и бухарская керамика домонгольского типа. Выявлено ТАЭ в 1946 г.",2,11,,2,49.952703,54.939556,23
Базяковское селище I,"Базяково, село Алексеевского р-на, правый берег реки Ахтай. Расположено на северо-западной окраине села. Материал—булгарская домонгольского периода керамика. Выявлено в 1946 г.",2,11,,2,49.723444,55.137983,24
Балымерские находки вещей,"Балымеры, село. Из села происходят железный топорик с круглыми щековицами, тесло и два серпа. Хранятся в ГИМ.",2,15,,3,49.045536,54.871553,25
Балымерские находки вещей и монет I,"Балымеры, село. В окрестностях села обнаружены следующие находки: два серебряных плетеных браслета, серьги в виде кольца и серебряный перстень, найденные крестьянином Я. Назаровым в горшочке при рытье погреба в своей усадьбе (ГЭ). А. А. Спицын указывает на приобретенные им у крестьян различные предметы: железные наконечники стрел, сошники, медные бляшки, пронизки, стеклянные и сердоликовые бусы, глиняные пряслица, медную булаву и джучидские монеты. Вещи X—XIV вв., монеты—XIII-XIV вв.",2,15,,3,49.053606,54.873531,26
Балымерские находки вещей и монет II,"Балымеры, село. В 7 верстах к северу от села в конце XIX в. были найдены топор, удила, точило, напрясло и 11 медных джучидских монет. В выселках под названием «Гребенское» найдены еще 2 медные монеты с именами Насир-ад-дина и Менгу-Каана.",2,18,,3,49.066994,54.881056,27
Балымерский клад монет I,"Балымеры, село. В конце прошлого столетия А. Лихачевым приобретена часть клада из района села в виде 48 целых и нескольких разрубленных диргемов, относящихся к 933—1058 гг. Найден в 1862 г. ",2,11,,8,49.002106,54.860264,28
Балымерский клад монет II,"Балымеры, село. К 1890 г. относится находка клада куфических монет, из которых 2 диргема, попавшие к Н. П. Лихачеву определены как чеканенные в 897 и 9... годах.",2,14,11,8,49.004853,54.86185,29
Балымерский могильник,"Балымеры, село. Расположен в 100 м к северо-западу от села на верхней террасе Волги. Подвергался исследованиям в 1870 (А. И. Стоянов), в конце 1880-х годов (П. А. Пономарев и Н. П. Лихачев) . Вскрыты курганы с трупосожжением. Найдены сосуд, бронзовые накладки, меч франкского типа. В 1961 г. Е. А. Халикова изучила в этом районе ряд курганов кочевников раннезолотоордынского времени.",2,14,18,4,48.947917,54.863394,30
Балымерское городище 'Шелом',"Балымеры, село. Расположено на небольшом мысу между двумя оврагами коренного берега реки Волга. Местное название «Шолом». Городище известно со второй половины XIX столетия. В 1898 г. оно обследовалось А. А. Спицыным. В 1925 г. на памятнике вел раскопки В. Ф. Смолин. В 1954 г. раскапывалось Б. Б. Жиромским. В 1961 г. обследовалось разведкой Е. А. Халиковой, а в 1962—1963 гг. остатки городища обследовались отрядом ТАЭ под руководством П. Н. Старостина. В настоящее время «Шолом» почти полностью разрушен оврагами и рекой. В. Ф. Смолин и Б. Б. Жиромский определяли памятник как культовое место (святилище); мы присоединяемся к мнению А. А. Спицына, рассматривавшему «Шолом» как городище. Небольшая часть находок может быть отнесена к финальной бронзе, раннему железу — к ананьинской культуре.",4,25,,1,48.960228,54.850717,31
Балымерское селище IV,"Балымеры, село. Расположено на левом берегу оврага у южного конца села, в 100 м к западу от Балымерского городища, на краю коренного берега. Поверхность поселения издавна распахивалась; в настоящее время она занята посадкой, частично задернована. Судя по обнажениям, площадь селища составляла 120Х60 м, а мощность слоя около 120 см. Материал селища — керамика именьковского и булгарского типов. Обследовано П. Н. Старостиным летом 1963 г.",2,11,,2,48.962972,54.848642,32
Балымерское селище V,"Балымеры, село Куйбышевского р-на, левый берег р. Волга. Расположено в 1—0,8 км к юго-востоку от села на краю надлуговой террасы, до недавнего времени распахивалось под посевы. Ныне поверхность задернована и занята посадкой, но в значительной части разрушена мощным молодым оврагом. Площадь поселения, судя по обнажениям—100Х60 м, мощность культурного слоя около 90 см. Памятник раскопан КАЭ в 1955 г. под руководством А. М. Ефимовой. Селище дополнительно обследовалось Татарской археологической экспедицией 1963 г. под руководством П. Н. Старостина. Основной материал памятника относится к домонгольскому булгарскому и именьковскому времени.",2,11,,2,48.964742,54.8473,33
Борискинское селище,"Борискино, село Алькеевского р-на, левый берег реки Бездна, левого притока Волги. Открыто и обследовано АЭ КФАН СССР летом 1946 г. под руководством Н. Ф. Калинина на краю надлуговой террасы в 1,5—2 км к юго-западу от села около озера.",2,15,,2,50.092892,54.768481,34
Бугровское местонахождение I,"Бугровка, деревня Куйбышевского р-на, левый берег реки Бездна. В 2—2,2 км к северо-северо-востоку от деревни и 0,25 км к северо-западу от моста за болотом, на пашне разведкой ТАЭ 1964 г. найдены фрагменты булгарского гончарного сосуда.",2,15,,3,49.332031,54.930708,35
Бугровское местонахождение II,"Бугровка, деревня. В 2,5 км к северу от деревни и в 0,3 км к северо-западу от Бугровского местонахождения I на пашне, на пологом склоне к низине развед­кой ТАЭ 1964 г. обнаружена булгарская гончарная керамика.",2,15,,3,49.329058,54.932858,36
Булгарские находки,"Куйбышев, город. В окрестностях Булгарского городища найдена группа каменных, медных и бронзовых предметов. С балановскими древностями связана часть каменных орудий и медный топор из собрания ГИМ, с абашевскими—топор, со срубными или приказанскими — два двуушковых кельта, с ананьинскими—два кельта.",4,25,,3,49.047675,54.986608,37
Булгарские находки,"Куйбышев, город. В окрестностях Булгарского городища найдена группа каменных, медных и бронзовых предметов. С балановскими древностями связана часть каменных орудий и медный топор из собрания ГИМ, с абашевскими—топор, со срубными или приказанскими — два двуушковых кельта, с ананьинскими—два кельта.",5,100000000000011,,3,49.047675,54.986608,38
Булгарские находки,"Куйбышев, город. В окрестностях Булгарского городища найдена группа каменных, медных и бронзовых предметов. С балановскими древностями связана часть каменных орудий и медный топор из собрания ГИМ, с абашевскими—топор, со срубными или приказанскими — два двуушковых кельта, с ананьинскими—два кельта.",6,100000000000011,,3,49.047675,54.986608,39
Булгарское селище I,"Куйбышев, город. Расположено в 0,5 км к северу от церкви бывшего села Булгары. Размыто. Разведкой ТАЭ 1966 г. на площади 100 X 20 м зафиксирован подъемный материал. В нем разнообразная булгарская керамика, железные предметы (удила, ножи, зубила, сверло, наконечник стрелы, ключ от замка), находки из цветного металла (замок в виде фигурки животного, бляшки, ручка от котла), а также сердоликовая 6-гранная призматическая (приплюснутая) бусина.",2,15,,2,49.052939,54.990756,40
Булгарское селище II,"Куйбышев, город. Зафиксировано осенью 1966 г. разведкой П. Н. Старостина в 1 км к северо-востоку от церкви бывшего села Булгары, на острове. Материал прослежен на площади 70Х60 м и состоит из керамики позднебулгарского периода, железных предметов (удила, скобы, пробойник, ключ и др.) и джучидской монеты.",2,18,,2,49.063881,54.993111,41
Булгарское селище III,"Куйбышев, город. Разведкой ТАЭ 1966 г. в 1,5 км к северо-западу от церкви бывшего села Булгары на останце надлуговой террасы на размытой площади (90Х20 кв. м) собрана булгарская домонгольская керамика и железные изделия.",2,11,,2,49.032725,54.992594,42
Бураковские находки,"Бураково, село. Рабочим совхозных мастерских Легавиным П. Н. в 1983 г. в районе села, в осыпях реки Ахтай, обнаружены керамика срубной культуры и бронзовый нож-кинжал с упором в черенке.",5,43,,3,49.663019,55.128933,43
Бураковское местонахождение,"Бураково, село. К западу от села в обнажениях берега среди поздней керамики в 1961 г. Е. П. Казаковым найдена и булгарская.",2,15,,2,49.650503,55.125344,44
Бураковское местонахождение I,"Бураково, село. На восточной окраине села, в обнажении берега, вместе с русской керамикой Е. П. Казаковым в 1961 г. найдена лепная керамика с примесью толченой раковины в тесте.",4,25,,3,49.668222,55.128086,45
Бураковское селище I,"Бураково, село. К востоку от Бураковского городища I расположено селище с именьковской и булгарской керамикой, доходящее до Бураковского городища II . Выявлено разведкой ТАЭ в 1946 г.",2,11,,2,49.6645,55.1345,46
Вихлянская стоянка,"Тенишево, бывшее село. На мысу левого берега реки Вихлянка и надпойменной террасы Волги в 4 км к востоку-северо-востоку от города Куйбышева в размыве берега А. X. Халиковым в 1967 г. собраны кремневые изделия, в том числе нуклеус и долото. Здесь же найдена булгарская керамика. Повторно осматривалось Е. А. Беговатовым в 1981—1983 гг.",2,15,,2,49.108489,55.013361,47
Вихлянская стоянка,"Тенишево, бывшее село. На мысу левого берега реки Вихлянка и надпойменной террасы Волги в 4 км к востоку-северо-востоку от города Куйбышева в размыве берега А. X. Халиковым в 1967 г. собраны кремневые изделия, в том числе нуклеус и долото. Здесь же найдена булгарская керамика. Повторно осматривалось Е. А. Беговатовым в 1981—1983 гг.",5,100000000000011,,2,49.108489,55.013361,48
Вихлянская стоянка,"Тенишево, бывшее село. На мысу левого берега реки Вихлянка и надпойменной террасы Волги в 4 км к востоку-северо-востоку от города Куйбышева в размыве берега А. X. Халиковым в 1967 г. собраны кремневые изделия, в том числе нуклеус и долото. Здесь же найдена булгарская керамика. Повторно осматривалось Е. А. Беговатовым в 1981—1983 гг.",6,100000000000011,,2,49.108489,55.013361,49
Вихлянская стоянка II,"Куйбышев, город. В 2,5—3 км к югу от устья речки Вихлянка на мысу размытой надлуговой террасы на площади 50Х30 м А. X. Халиковым в 1967 г. собраны кремневые изделия и фрагменты булгарской керамики. В 1981— 1983 гг. осматривалась Е. А. Беговатовым.",2,18,,2,49.135189,55.007792,50
Вихлянская стоянка II,"Куйбышев, город. В 2,5—3 км к югу от устья речки Вихлянка на мысу размытой надлуговой террасы на площади 50Х30 м А. X. Халиковым в 1967 г. собраны кремневые изделия и фрагменты булгарской керамики. В 1981— 1983 гг. осматривалась Е. А. Беговатовым.",8,100000000000011,,2,49.135189,55.007792,51
Владимирское селище,"Владимирский, бывший поселок Куйбышевского р-на, правый берег ручья правого притока реки Бездна, левого притока Камы. Расположено на северной окраине бывшего поселка. Распахано. Площадь 300 X 150 м. Разведкой ТАЭ 1961 г. собрана булгарская керамика до-монгольского времени. Известна находка клада монет, судя по описанию, арабских диргемов. В заложенном Е. П. Казаковым в 1961 г. шурфе, керамика встречена лишь на первом штыке. В восточной части памятника есть погребения.",2,11,,2,49.461553,55.009586,52
Вожинское селище,"Вожи, село Куйбышевского р-на, правый берег реки Ахтай. В 1961 г. Е. П. Казаковым на коренной террасе в 700—800 м к северу от села зафиксировано селище размером 100Х70 м и мощностью культурного слоя в 30 см. Местами на поверхности заметны жилищные впадины. Подъемный материал состоит из обломков именьковской лепной и булгарской круговой керамики.",2,11,,2,49.588247,55.109847,53
Войкинские находки,"Войкино, село Алексеевского р-на, правый берег реки Ахтай. Из села в коллекции В. И. Заусайлова содержатся каменные изделия, в том числе пест-курант из плотного песчаника.",5,100000000000011,,3,49.799422,55.110625,54
Войкинский клад монет,"Войкино, село. Из района села происходят 32 серебряные джучидские монеты, сохранившиеся от клада XV в.",2,18,17,8,49.799403,55.110478,55
Войкинское (Западное) селище V,"Войкино Западное, деревня. Расположено в 0,1 км к северу от деревни, юго-восточнее Западно-Войкинского городища , ниже его по берегу реки. Мощность культурного слоя в ямах до 1,6 м. Материал—лепная именьковская и гончарная булгарская керамика домонгольского времени, слиток меди, кусок железа. Выявлено разведкой ТАЭ 1946 г.",2,11,,2,49.803428,55.113722,56
Войкинское селище I,"Войкино Малое (Среднее), деревня. В 0,2 км к юго-востоку от деревни, на поле, в 1946 г. собрана булгарская керамика домонгольского времени.",2,11,,2,49.765839,55.110003,57
Войкинское селище II,"Войкино Малое (Среднее), деревня Алексеевского р-на, левый берег реки Ахтай. К северо-западу от деревни, на поле, разведкой ТАЭ в 1946 г. собрана керамика домонгольского времени.",2,11,,2,49.779422,55.110964,58
Войкинское селище III,"Войкино, деревня. В 1946 г. в 0,4 км к северо-востоку от деревни Ямкино выявлено селище.",2,11,,2,49.768458,55.105881,59
Войкинское селище IV,"Войкино Большое, село Куйбышевского р-на, левый берег реки Ахтай. В 1946 г. на юго-западной окраине села на краю надлуговой террасы в урочище «Круча» выявлено селище, поверхность которого частично разрушена обнажением, где прослеживаются остатки хозяйственных ям-кладовок. Учителем А. И. Мальковым в середине шестидесятых годов в заполнении одной хозяйственной ямы обнаружены железные, крупных размеров клещи, обломок сопла, по-видимому, от сыродутного горна и керамика.",2,11,,2,49.793133,55.102122,60
Восточно-Войкинское городище,"Войкино Восточное (Большое), село Алексеевского р-на, правый берег реки Ахтай. Городище, известное с XIX в. и осмотренное ТАЭ 1946 г., расположено в 0,25 км к западу от села, на берегу старицы реки. С запада ограничено оврагом. Форма четырехугольная с закругленными углами. Площадь 80 000 кв. м. Укреплено двумя валами и двумя рвами с трех сторон. Высота валов и глубина рвов— 3—4 м. Ширина линии обороны 46 м. Восточная часть городища отделена от западной валом и рвом. На распахиваемой поверхности городища встречается подъемный материал — булгарская керамика домонгольского периода.",2,11,,1,49.780161,55.108417,61
Горкинский клад монет I,"Горка, село Куйбышевского р-на, правый берег безымянной речки, правого притока реки Бездна, левого притока Камы. Из района села происходят находки, состоящие из 135 джучидских монет XIV в. золотоордынских ханов Узбека, Джанибека, Бердибека, Науруза, Хызра и др. (710—764 гг. хиджры), найденных в 1887 г.",2,18,,8,49.561286,54.951431,62
Горкинский клад монет II,"Горка, село. Близ села в поле в 1907 г. было выявлено 115 серебряных золотоордынских монет различных ханов (преимущественно Джанибека—67 монет).",8,100000000000011,,8,49.562317,54.957706,63
Гурьевская стоянка,"Гурьевка, деревня, правый берег реки Ахтай. Расположена в 2 км к югу от села на берегу реки. Выявлена разведкой ТАЭ в 1946 г.",5,36,,2,49.897625,55.042081,64
Гурьевский клад монет,"Гурьевка, деревня. В 1900 г. в селе при рытье канавы был найден клад серебряных вещей, содержащий монеты середины XIV в. и гривну. 5 монет прислано тогда же на определение в Археологическую комиссию.",2,18,,8,49.899386,55.066672,65
Гурьевское селище I," Гурьевка, деревня Алексеев ского р-на, левый берег реки Ахтай Расположено в 0,5 км к западу-северо-западу от деревни. Распахано. Площадь 150Х50 м. Материал— булгарская керамика домонгольского времени. Выявлено в 1946 г. разведкой ТАЭ.",2,15,,2,49.889044,55.066225,66
Гурьевское селище II,"Гурьевка, деревня. В 1 км к юго-западу от деревни в 1946 г. разведкой ТАЭ на площади 150Х60 м собрана булгарская керамика домонгольского времени. В обнажениях берега — культурный слой с такой же керамикой на глубине 60—70 см.",2,11,,2,49.876339,55.055386,67
Гурьевское селище III,"Гурьевка, деревня. Расположено в 1,8 км к юго-юго-западу от села в 0,4 км выше по реке от устья левого притока Салманки. Протяженность селища вдоль реки—300—400 м. Культурный слой имеет мощность до 1,5 м. Материал—именьковская и булгарская керамика домонгольского типа, а также железный серп. Поселение выявлено разведкой ТАЭ в 1946 г.",2,11,,2,49.894242,55.052767,68
Гусихинский клад монет и вещей,"Гусиха, село Куйбышевского р-на, правый берег реки Бездна, левого притока Волги. При рытье ямы крестьянином села был найден клад из 53 серебряных монет, 3-х колец и 4-х браслетов. Клад был приобретен ОАИЭ в 1911 г.",2,18,,8,49.524761,54.878222,69
Гусихинское городище,"Гусиха, село Куйбышевского р-на, правый берег реки Бездна. Расположено в 2 км к северу от села на высоком берегу. Форма подчеты-рехугольная. Площадь 11900 кв. м (140Х85 м). С запада городище подходит к обрыву, с трех других сторон вырисовываются сильные укрепления из трех валов. Ширина линии обороны 40 м. В ней 4 проезда. Культурный слой 25 см. Материал, собранный ТАЭ 1946 г. под руководством Н. Ф. Калинина,— булгарская керамика домонгольского времени.",2,11,,1,49.5292,54.891747,70
Даниловский клад монет,"Даниловка, деревня. При распашке поля возле деревни были найдены 137 серебря­ных монет Х в.— куфические диргемы и брактеаты. 125 из них поступи­ли в КГУ, а остальные в Петербургский университет.",2,11,,8,49.540019,54.713903,71
