Название,Описание,Эпоха,Culture,Вторая культура,Type,Y,X,id
Арбузов-Баранское местонахождение I,"Арбузов Баран, деревня Алексеевского района, левый берег ручья Ямберд, левого притока речки Баранка, правого притока р. М. Черемшан. В 2,5 км к юго-востоку от деревни на распаханной пологой террасе БАЭ в 1971 г. обнаружено несколько фрагментов гончарной керамики.",2,15,,3,50.341028,54.988058,14
Арбузов-Баранское местонахождение II,"Арбузов Баран, деревня. На мысу террасы при слиянии ручья Ямберд и речки Баранка на огороде Савельева П. Н. БАЭ в 1971 г. собрано несколько фрагментов гончарной керамики.",2,15,,3,50.306036,55.022556,15
Арбузов-Баранское селище I,"Арбузов Баран, деревня, правый берег речки Жёлтый (Кочкарь). Расположено на невысокой террасе поймы в 400 м к юго-западу от села, примыкая вплотную к шоссе Билярск-Алексеевское. Поверхность интенсивно распахивается. Культурный слой не выявлен. На площади 180Х70 м БАЗ в 1971 г. собраны фрагменты гончарной керамики.",2,15,,2,50.298481,55.004533,16
Арбузов-Баранское селище II,"Арбузов Баран, деревня. Расположено на невысокой береговой террасе ручья в 300 м к юго-западу от деревни, примыкая вплотную с юго-востока к сосновому бору. Поверхность интенсивно распахивается. Культурный слой сохранился лишь близ края террасы, в обнажениях которой зафиксированы также следы хозяйственных ям и построек. На площади 580Х120 м собрано большое количество гончарной и лепной, в том числе салтовской керамики, обломки (железных) цилиндрического замка и пряжки.",2,11,,2,50.300067,55.005311,17
Арбузов-Баранское селище III,"Арбузов Баран, деревня. Расположено в пределах села, в 200 м к югу от дороги в Билярск и моста через ручей С севера ограничено оврагами, с запада и юга — жилыми и хозяйственными постройками. Подъемный материал сосредоточен отдельными скоплениями неравномерно — на площади 300Х70 м (гончарная керамика, каменное пряслице). Большая часть его собрана при зачистке силосной ямы на огородах близ ручья. Керамика, отличающаяся от общебулгарской по составу и фактуре теста, но близкая к ней по формам и орнаменту, обнаружена также в раскопе (20Х4 м).",2,17,,2,50.307425,55.025442,18
Арбузов-Баранское селище IV,"Арбузов Баран, деревня, правый берег речки Баранка. Расположено на надлуговой террасе в 400 м к югу от села и правее устья ручья Желтый, с юго-востока и востока ограничено небольшими оврагами. На распаханной поверхности по краю террасы БАЗ в 1971 г. собраны фрагменты гончарной керамики.",2,100000000000011,,2,50.298672,55.007875,19
Атлашкинское городище,"Атлашкино, деревня. В 0,8 км к юго-западу от деревни ТАЭ в 1964 г. обнаружено городище полукруглой формы, ограниченное с юго-западной стороны оврагом, а с остальных сторон валом (ширина 10 м, высота 1,25 м) и рвом (ширина 4 м, глубина 0,8 м). Поверхность задернованная, слой до 40 см.",2,11,,1,50.752058,54.990958,20
Атлашкинское местонахождение,"Атлашкино, деревня, правый берег речки Саврушка. В 1962 г. на огороде Е. Ф. Петровой выпахан жерновой камень диаметром 52 см и толщиной 8 см.",2,15,,3,50.756914,54.998072,21
Атлашкинское селище,"Атлашкино, посёлок. Напротив Атлашкинского городища через овраг ТАЭ в 1964 г. обнаружено селище площадью 72 000 кв. м и слоем в 50 см.",2,11,,2,50.751453,54.994111,22
Балынгузские мавзолеи,"Билярск, село. На вершине мыса Балынгуз видны всхолмления, состоящие из битого кирпича квадратной и прямоугольной форм, изразцов с зеленой и светло-зеленой поливой, в том числе и зубчатой формы, характерной для XV—XVI вв. На северо-восточной стороне широкой стороны мыса у самого вала городища «Балынгуз» заметны следы белокаменных фундаментов от прямоугольной формы зданий, скорее всего, дюрбе — мавзолеев. По преданиям и историческим данным известно, что на этом месте производилось захоронение знатных людей из булгар не только в период Золотой Орды, но и в период Казанского ханства. Для охраны могил и мавзолеев, считавшихся «святыми», за оврагом Торецкий располагалась еще в XVII в. татарская деревушка. По преданиям же известно, что примерно в средней, относительно плоской части мыса, находилась белокаменная мечеть с минаретом «столпом», от которой ныне заметно на распахиваемой поверхности белое пятно.",2,100000000000011,,11,50.385617,55.024364,23
Балынгузское (Торецкое) селище III,"Билярск, село. В 3,5 км к северо-западу от села на правой стороне пологого края оврага Торецкий БАЗ в 1983 г. выявлено обширное селище площадью 300 000 кв. м и слоем в 20— 25 см. Судя по материалу, селище связано с поздней булгаро-татарской деревней, жители которой в XV—XVI вв. охраняли древности Билярска и Балынгуза.",2,18,19,2,50.442006,55.006097,24
Балынгузское городище,"Горки, село. К западу в 1,25—1,5 км от села и в 3— 3,5 км к северу, северо-востоку от села Билярск на высоком берегу реки (с юга). С запада ограничено оврагом Торецким, имеющим со стороны городища крутой склон (торец). С севера доходит почти до шоссе, идущего со стороны Горок в Алексеевск. С юго-востока к городищу примыкает Горкинское городище II. Площадь городища (без Горкинского II )= 1,5Х1,25 км (1 875000 кв. м). Почти по всему периметру городище окружено линией вала и рва, но во многих местах они производят впечатление недостроенных (недосыпанные валы, рвы с перемычками), а в южной части нарушенных мавзолеями кладбища XIV— XV вв. Неоднократные археологические исследования БАЭ, особенно активные в 1983 г., сопровождавшиеся осмотром поверхности, шурфовкой, а также специальной аэрофотосъемкой, проведенной в 1973—1974 гг., показали крайне слабую насыщенность памятника (не считая территории Горкинского городища II) культурными остатками. Лишь местами встречаются скопления позднебулгарской керамики. Все это дает возможность предположить, что перед нами остатки недостроенного и незаселенного города, скорее всего строившегося в 1236—1240 гг. булгарами взамен сожженного Биляра Великого города. Городище посещалось и описывалось в 1769 г. Н. Рычковым, в 1881 г. В. А. Казариновым, в 1970-х годах Р. Г. Фахрутдиновым, с 1967 г. постоянно— Билярской экспедицией.",2,15,,1,50.384458,55.023406,25
Балынгузское кладбище,"Билярск, село, правый берег р. М. Черемшан. В 2,5 км к северу от села на юго-западном мысу, отходящем от основной площадки городища «Балынгуз», имеющем подтреугольную форму (700Х400 м) и подымающемся с юга на север на 25—50 м. Здесь еще в XVIII в. находилось несколько десятков каменных надгробий, 5 из которых были извлечены Билярской экспедицией в 1972—1973 гг. из-под фундамента деревни Арбузов Баран. Ныне они хранятся в Билярском музее. Плита № 1 (82Х60Х XI 8 см) представляет собой верхнюю часть надгробия, завершенного стрельчатой аркой, под которой помещена восьмилепестковая розетка. Сохранилась первая строка текста, выполненного врезанным полукуфическим почерком, характерным для XIV в. Плита № 2 — нижняя часть надгробия, имеет следы растительного орнамента, расположенного с двух краев лицевой части, а также остатки надписи, выполненной в рельефной технике, что характерно для XIV—XVI вв. Плита № 3— также нижняя часть надгробия. Сохранились две строчки текста, выполненные врезанным куфическим почерком, характерным для булгарского периода. Плита № 4— (160Х60Х Х24 см) относительно хорошей сохранности. Наверху под стрельчатой аркой расположена многолепестковая розетка. Шестистрочный текст вырезан четким куфическим почерком. Датируется 1358 г. Плита № 5— (146Х59Х21 см) плохой сохранности. Заметны следы стрельчатой арки, низ камня обломан. Текст выполнен рельефным почерком сульс, почти не читается. Предположительно датируется XIV—XVI вв.",2,15,,4,50.427417,54.994397,26
Балынгузское кладбище,"Билярск, село, правый берег р. М. Черемшан. В 2,5 км к северу от села на юго-западном мысу, отходящем от основной площадки городища «Балынгуз», имеющем подтреугольную форму (700Х400 м) и подымающемся с юга на север на 25—50 м. Здесь еще в XVIII в. находилось несколько десятков каменных надгробий, 5 из которых были извлечены Билярской экспедицией в 1972—1973 гг. из-под фундамента деревни Арбузов Баран. Ныне они хранятся в Билярском музее. Плита № 1 (82Х60Х XI 8 см) представляет собой верхнюю часть надгробия, завершенного стрельчатой аркой, под которой помещена восьмилепестковая розетка. Сохранилась первая строка текста, выполненного врезанным полукуфическим почерком, характерным для XIV в. Плита № 2 — нижняя часть надгробия, имеет следы растительного орнамента, расположенного с двух краев лицевой части, а также остатки надписи, выполненной в рельефной технике, что характерно для XIV—XVI вв. Плита № 3— также нижняя часть надгробия. Сохранились две строчки текста, выполненные врезанным куфическим почерком, характерным для булгарского периода. Плита № 4— (160Х60Х Х24 см) относительно хорошей сохранности. Наверху под стрельчатой аркой расположена многолепестковая розетка. Шестистрочный текст вырезан четким куфическим почерком. Датируется 1358 г. Плита № 5— (146Х59Х21 см) плохой сохранности. Заметны следы стрельчатой арки, низ камня обломан. Текст выполнен рельефным почерком сульс, почти не читается. Предположительно датируется XIV—XVI вв.",2,15,,12,50.427417,54.994397,27
Балынгузское селище I (Билярское VIII),"Билярск, село. В 1962 г. ТАЭ на правом берегу Черемшана и по нижней юго-западной части Балынгузского мыса выявила селище площадью 36125 кв. м, обозначив его как Билярское селище VIII. Последующие наблюдения БАЗ, в том числе детальные 1983 г., показали, что это селище, относящееся, судя по материалу, к золотоордынскому периоду (XIII— XIV вв.), лучше назвать Балынгузским. Шурфовка 1983 г. выявила слой до 40 см мощности.",2,18,,2,50.373169,55.005208,28
Балынгузское селище II,"Билярск, село. На полого опускающемся Балынгузском мысу располагается селище площадью до 80000 кв. м, в средней части которого виднеется кирпично-щебенистое пятно (15Х 25 м) от какого-то крупного здания (мечети?). В южной части площади селища преобладает домонгольский материал, хотя везде встречается и более поздняя керамика.",2,15,,2,50.371281,55.003631,29
Балынгузское селище IV,"Билярск, село. На юго-восточном пологом выступе Балынгузского мыса, в 2,8—3 км на северо-запад от села БАЗ в 1983 г. выявлено селище площадью 20000 кв. м и слоем в 20 см. В траншее 1983 г. (10Х2 м) вскрыты округлые ямы с преимущественно именьковской керамикой. Редко встречается булгарская керамика золотоордынского времени.",2,18,,2,50.371886,55.00755,30
Балынгузское селище V,"Горки, село. В 2,5 км к западу-юго-западу от села на восточном пологом склоне Балынгузского мыса БАЗ в 1986 г. выявлено селище площадью 17500 кв. м и слоем в 20 см.",2,11,,2,50.370478,55.014561,31
Балынгузское селище VI,"Билярск, село. В нижней части мыса, на вершине которой находится курганы II, располагается селище, выявленное в 1983 г. БАЗ, занимающее площадь 45000 кв. м при слое в 30 см.",2,100000000000011,,2,50.409478,55.023303,32
Барскоенорускинские находки,"Барское Енорускино, село , правый берег р. Малая Сульча. В 1880 г. около села были найдены: серебряные ювелирные изделия, медный сосуд в обломках, обломок бронзового зеркала, железные мотыги, ключ, огниво, ножи, наконечники стрел.",2,15,,3,50.963128,54.913206,33
Барскоенорускинское городище,"Барское Енорускино, село. Расположено в 0,6 км к западу-северо-западу от села, в 1,5 км к востоку от села Новое Ильдеряково на краю высокой террасы. Площадка городища подчетырехугольной в плане формы с северной стороны ограждена валами и рвами. С востока оборонительные сооружения не сохранились (распаханы). Местное название памятника «Татарский городок», «Хула-ду» (по-чувашски «Город—гора»). Памятник известен со второй половины XIX столетия. Площадь 30400 кв. м, слой до 50 см.",2,15,,1,50.92935,54.896058,34
Барскоенорускинское кладбище с надгробиями,"Барское Енорускино, село. В 1 км к северо-западу от села на месте древнего кладбища имеется 2 надмогильных памятника. (В 1963 г. здесь находилось 8 памятников, а до этого несколько десятков). На одном надпись в стиле куфи, на другом — в стиле насх. Дата одного — 1347 год, другого — XIV в. Два камня отсюда перевезены в р. п. Аксубаево на территорию санатория «Байрак». Оба булгарские, один датируется надписью 1317, другой — 1357 г.",2,15,,4,50.929258,54.896347,35
Барскоенорускинское селище I,"Барское Енорускино, село Аксубаевского района, левый берег р. М. Сульча. В 0,5 км к северо-востоку от села ТАЭ в 1970 г. выявлено селище площадью 635000 кв. м и слоем до 50 см.",2,15,,2,50.979231,54.919194,36
Барскоенорускинское селище II,"Барское Енорускино, село. У села в сторону Новое Ильдеряково ТАЭ в 1970 г. выявлено рядом с городищем  селище площадью 200000 кв. м.",2,11,,2,50.929878,54.898458,37
Биляр-Озёрское селище I,"Биляр-озеро, село Октябрьского района, левый берег р. Б. Черемшан. В 1,2 км к северо-северо-западу от села в урочище «Илготкина поляна» на пашне на площади 52500 (350Х150 м) кв. м ТАЭ в 1985 г. собрана гончарная керамика и выявлен слой в 25 см.",2,11,,2,50.445883,54.51855,38
Биляр-Озёрское селище II,"Биляр-Озеро, село. В 0,6 км к востоку-северо-востоку от села в урочище «Калмыцкая поляна» на пашне на площади 35000 (500Х70 м) кв. м ТАЭ в 1965 г. собрана керамика и выявлен слой в 30 см.",2,11,,2,50.497897,54.512572,39
Билярские находки III,"Билярск, село. Из села происходит огромное число находок различных предметов булгарской культуры домонгольского периода, ещё в XIX в. оказавшихся в крупнейших археологических собраниях. Так, в коллекции В И Заусайлова, ныне хранящейся в Национальном музее Финляндии (г. Хельсинки), насчитывается до 2500 номеров изделий из Биляра. В каталоге коллекций археологического музея Казанского университета, недавно обнаруженного в архиве Национального музея Финляндии (г. Хельсинки), насчитывается 1922 предмета из Биляра, входивших в собрания Островского А. Н. (1731 предмет), Износкова (136 предметов), Лихачёва А. Ф. (24 предмета) и Булича Н. Н. (31 предмет). Часть этих предметов сохранилась в коллекциях археологического музея университета, часть попала в фонды Государственного музея Татарской АССР. Кроме того, отдельные кол лекции билярских древностей имеются в ГИМе (около 100 предметов) и в Эрмитаже. Все коллекции археологических раскопок, начиная с 1967 г., хранятся в Билярском музее Билярского филиала БГИАЗ.",2,11,,3,50.389981,54.977069,40
Билярские селища II-III,"Билярск, село. Селища расположены на северо-западной окраине села между правым берегом р. Билярка и левым берегом р. М. Черемшан на распаханной площади (1,3Х1,8 км), к северу от территории Билярского отделения Алексеевского молокозавода. По восточной стороне селища к р. М. Черемшан ведёт летняя дорога из с. Билярск в с. Алексеевское. Поверхность ровная. В 1964 г. Р. Г. Фахрутдинов обозначил здесь два селища (II и III Билярские), но дал неверные (уменьшенные) размеры площади. В 1969—1976 гг. селища неоднократно посещались Билярской экспедицией с целью сбора подъёмного материала. В 1981— 1982 гг. на северо-восточном краю Н. А. Кокориной заложен раскоп, вскрывший культурный слой мощностью до 70 см, разделённый на два горизонта: нижний — домонгольский; верхний — золотоордынский. В 1971 г. в северо-восточной половине был найден небольшой клад монет золотоордынского времени. Ещё три монеты XIV в. были обнаружены в 1974 и 1986 гг. Селище, представляющее собой самое крупное (площадь около 2 000 000 кв. м) на территории Волжской Булгарии неукреплённое булгарское поселение золотоордынского времени, очевидно, связано с Биляром, упоминаемым в некоторых источниках как существующее поселение после монгольского нашествия. Попытки отдельных исследователей (Фахрутдинов Р. Г., 1975, № 271) считать, что само Билярское городище функционировало в золотоордынское время, беспочвенны, т. к. многолетние раскопки на всей площади городища не подтвердили наличия следов жизни после разрушения города монголами в 1236 г. Южнее территории Билярского отделения Алексеевского молокозавода при рытье траншей канализации прослежены остатки мусульманского могильника, возможно, связанного с селищем.",2,11,,2,50.371561,54.989897,41
Билярские селища II-III,"Билярск, село. Селища расположены на северо-западной окраине села между правым берегом р. Билярка и левым берегом р. М. Черемшан на распаханной площади (1,3Х1,8 км), к северу от территории Билярского отделения Алексеевского молокозавода. По восточной стороне селища к р. М. Черемшан ведёт летняя дорога из с. Билярск в с. Алексеевское. Поверхность ровная. В 1964 г. Р. Г. Фахрутдинов обозначил здесь два селища (II и III Билярские), но дал неверные (уменьшенные) размеры площади. В 1969—1976 гг. селища неоднократно посещались Билярской экспедицией с целью сбора подъёмного материала. В 1981— 1982 гг. на северо-восточном краю Н. А. Кокориной заложен раскоп, вскрывший культурный слой мощностью до 70 см, разделённый на два горизонта: нижний — домонгольский; верхний — золотоордынский. В 1971 г. в северо-восточной половине был найден небольшой клад монет золотоордынского времени. Ещё три монеты XIV в. были обнаружены в 1974 и 1986 гг. Селище, представляющее собой самое крупное (площадь около 2 000 000 кв. м) на территории Волжской Булгарии неукреплённое булгарское поселение золотоордынского времени, очевидно, связано с Биляром, упоминаемым в некоторых источниках как существующее поселение после монгольского нашествия. Попытки отдельных исследователей (Фахрутдинов Р. Г., 1975, № 271) считать, что само Билярское городище функционировало в золотоордынское время, беспочвенны, т. к. многолетние раскопки на всей площади городища не подтвердили наличия следов жизни после разрушения города монголами в 1236 г. Южнее территории Билярского отделения Алексеевского молокозавода при рытье траншей канализации прослежены остатки мусульманского могильника, возможно, связанного с селищем.",2,18,,2,50.371561,54.989897,42
Билярский могильник I,"Билярск, село. Находится на юго-западной окраине городища, за укреплениями внешнего города. Часть площади могильника, не сохранившего никаких внешних признаков, занята в настоящее время постройками Билярского отделения «Сельхозтехники», а остальная распахивается. В 1969, 1971 гг. здесь 5 раскопами (IX—XIII) под руководством Е. А. Халиковой вскрыто около 800 кв. м площади, выявлено более 170 мусульманских захоронений, совершенных во второй половине домонгольского времени, т. е. в XII —начале XIII вв. Установлено, что первоначально, т. е. в Х—XI вв. на месте кладбища существовало поселение, скорее всего связанное с ранним посадом города. Максимально кладбище занимало значительную площадь (500Х ХЗОО м), окружённую рвом и частоколом. Основная масса погребений, изученных на могильнике, имеет устойчивый и единообразный мусульманский обряд, характерный для Булгарии домонгольской поры: отсутствие подбоя — ляхета, следы гробов, стандартное положение умерших — вытянуто и с лёгким поворотом на правый бок, строгое соблюдение кыблы, полное отсутствие какого-либо инвентаря и т. п. Могильник дал большой и интересный антропологический материал.",2,11,,4,50.384919,54.976103,43
Билярский могильник II,"Билярск, село. Расположен за восточным углом внутреннего города между валами «караван-сарая». Частично выявлен в 1928 г. раскопками А. С. Башкирова. В значительной степени вскрыт раскопом XV в 1969—1972 гг. Е. А. Халиковой и А. X. Халиковым.",2,11,,4,50.393331,54.976153,44
Билярский могильник III,"Билярск, село. Расположен во внешнем городе несколько северо-западнее южного угла внутреннего города по обе стороны р. Билярка. Зафиксирован на плане рубежа XVII—XIX вв., а также отмечен В. Н. Казариновым. Ориентировочная площадь ЗООХ Х120 м. Частично изучен в 1971 г. раскопом XVIII, когда было вскрыто 7 могил, в том числе одна коллективная с остатками 16 костяков Установлено, что могильник начал функционировать ещё в Х в., а в XI в. уже был перекрыт поселением внешнего города. Коллективная могила была заполнена жертвами монгольского нашествия 1236 г.",2,11,,4,50.386678,54.974475,45
Билярский могильник IV,"Билярск, село Расположен в пределах цитадели почти вплотную примыкая с юго востока к комплексу дворцовой мечети. Первые его следы были замечены ещё В. А. Казариновым, сообщившим, что рядом с остатками белокаменной мечети в прошлом находилось небольшое каменное здание, при разборке которого были найдены хорошо сохранившиеся человеческие костяки. Раскопками 1972—1973, 1975, 1979—1980 гг. Вскрыто до 50 погребений, размещенных группами в каких-то несохранившихся деревянных, в двух случаях в кирпичных сооружениях. По стратиграфическим наблюдениям и отдельным находкам могильник связан с кладбищем высшей знати домонгольской Булгарии и датируется Х—началом XIII в.",2,11,,4,50.389683,54.9784,46
Билярский могильник V,"Билярск, село. Еще одно общегородское кладбище (Билярский могильник V), занимавшее площадь не менее 300 000 кв. м (500Х600 м), располагалось в северо-западной части посада, к западу от северного угла внешнего города. Ныне это северная окраина села Билярск, расположенная между постройками бригады № 1 колхоза им. Свердлова, Бклярской кустовой больницы и Билярской ветеринарной лечебницей.",2,11,,4,50.376981,54.991653,47
Билярский посад-пригород,"Билярск, село. Расположен вокруг Билярского городища, перемежаясь с северо-западной и юго-западной сторон пригородными кладбищами. Судя по распространению подъёмного материала, а также наблюдениям за земляными работами во время строительства шоссе в северной части городища (см. селище XVI), средняя ширина пригородных поселений имела 500— 600 м. Последние наблюдения показали также, что северо-восточный пригород был укреплён деревянным тыном, возможно, построенным в период или перед событиями 1183 г., когда на Великий город был совершен поход владимировского князя Всеволода. Раскопки, проведённые в 1982 г. на XVII селище за северным углом внешнего города, а также на селище XI в районе I Билярского могильника (раскоп XIII), показали, что пригороды Биляра возникают одновременно с городом, т. е. не позже первой трети Х в. Существует посад — пригород до конца первой трети XIII в. и погибает вместе с городом в 1236 г. Съёмки 1973 г. и визуальные наблюдения показали, что в некоторых пригородных поселениях (см. селище XII, XV) имеются даже остатки кирпичных сооружений.",2,11,,2,50.389014,54.978722,48
Билярское городище,"Билярск, село (речки Билярка и Елшанка — левые притоки реки Малый Черемшан). Расположено на юго-восточной окраине села, занимая всю его юго-восточную половину, на ровном плато, слегка понижающемся с юго-востока на северо-запад по направлению к реке М. Черемшан. Поверхность городища перерезают две речки — Билярка и Елшанка, использованные при строительстве укреплений древнего города. Многолетними исследованиями, а также детальными съёмками, проведенными в 1973—1974 гг., установлено, что городище, по общей конфигурации имеющее подквадратную форму, ориентированную углами по сторонам света, делится на концентрически вписанные друг в друга четыре части: цитадель, внутренний город, внешний город и посад-пригород. В центре располагалась цитадель, занимавшая огороженную деревянной стеной прямоугольную площадь около 200 000 кв. м. Цитадель находилась примерно в центре внутреннего города, имевшего подквадратную форму с общей площадью, включая две линии валов внутреннего города, около 1 300000 кв. м (130 га). Общая протяженность одной линии укреплений внутреннего города около 5 км. При строительстве укреплений юго-западной стороны было использовано русло р. Билярка, а северовосточной части — р. Елшанка. Размеры площади внутреннего города превышают общие площади всех отдельно взятых других булгарских городищ домонгольского периода. Цитадель и внутренний город, в свою очередь, вписаны во внешний город, окружённый тремя линиями валов и рвов, особенно хорошо сохранившихся в восточной части городища. Общая протяженность внешиего вала около 11 км. Селитбенная, т. е. обитаемая, площадь внешнего города 3 741 000 кв. м (374,1 га). За валами внешнего города почти по всему периметру в ширину на 500—600 м располагался обширный посад — пригородные поселения, перемежающиеся на северо-востоке и юго-западе большими кладбищами. Общая площадь посада более 1 000 000 кв. м (100 га), а общая площадь всего города, включая цитадель, внутренний и внешний город, а также посад, не менее 8000000 кв. м (800 га). По своим размерам Билярское городище является крупнейшим средневековым городищем в Восточной Европе. Исследование стен цитадели показало, что они были сооружены из дерева при основании города (922—923 гг.), а разрушены при гибели города осенью 1236 г. Здесь вскрыты остатки большого двухзального комплекса дворцовой (кафедральной) мечети, расположенных рядом кладбища знати, кирпичного здания, также связанных с мечетью, нескольких колодцев с деревянными срубами. Валы внутреннего города, исследованные раскопками в 1981—1982 гг., были построены неодновременно: внутренний вал, заложенный при основании города, претерпел четыре перестройки; наружный, дополнительный вал, очевидно, был сооружен лишь во второй половине существования города, т. е. не ранее XII в. Современные размеры в основании до 20 м, высота 4—5 м, ширина рва 15—18 м, глубина 2,5—3 м. Во внутреннем городе к северу от цитадели изучены остатки кирпичного здания, к западу — часть большой металлургической слободы. Внутренняя линия укреплений внешнего города также начала сооружаться при основании города в первой половине Х в., а затем претерпела не менее чем трёх-четырёх кратную перестройку Средняя ли ния валов имеет следы лишь однократной перестройки. Размеры валов и рвов внешних укреплений примерно равны размерам валов и рвов внутренних укреплений. Во внешнем городе у восточного угла внутреннего города изучены остатки огороженной валами, а также деревянным забором, части территории и кирпичного здания так называемого «караван сарая» и расположенного между ним и валами внутреннего города остатки раннего кладбища. Раскопом 1984 г. во внешнем городе изучены остатки ранней усадьбы с постройкой типа юрты. На территории пригородов, обозначенных как селища IX—XVIII, изучены остатки отдельных небольших построек, а также, может быть, следы укреплений по краю XVI селища. При исследовании во всех частях городища выявлен культурный слой, имеющий во внутреннем городе мощность до 100 и более см, во внешнем городе — до 60 см, в посаде — до 40—50 см. На основе анализа археологических материалов и письменных источников устанавливается, что Билярское городище представляет собой остатки столицы Волжской Булгарии Х—XIII вв., известного под именем Биляра (в переводе с булгарского—Великий), Булгара, а по русским летописям — Великого города. Строительство этого огромного города было начато при булгарском царе Алмуше в 922 г. Город погиб осенью 1236 г. в результате монгольского нашествия. Возвратившееся после разорения города население в 1237— 1240 гг. пыталось построить к северу от сожженого города на горе «Балынгуз» новый город, строительство которого, очевидно, было прекращено в результате карательного похода монгольских войск в 1240 г. Оставшееся население после этого обосновалось в неукрепленном поселении, остатки которого, ныне известные под именем II—III Билярских селищ, расположены к северу от городища по левому берегу р М. Черемшан. В XVII в. (1654— 1665 гг.) укрепления Билярского городища были включены в систему оборонительных линий первой Закамской черты и здесь был поставлен стрелецкий острог под именем пригород Билярск, позднее переросший в село Билярск, ставший волостным, а в 1931—1957 гг. районным центром Впервые на остатки Билярского городища как на историко-археологический памятник большого научного значения обратил внимание В. Н. Татищев. Первое детальное описание городища дал в XVIII в. Н. П. Рычков. В XIX в. Билярское городище посещали и описали Н. Рыбушкин, А. Второв, Н. Ф. Толмачёв и др. Детальное изучение городища и его окрестностей в 80-е годы XIX в. провел В. А. Казаринов. Сводку сведений о Билярском городище дал в своём обобщающем труде о булгарских древностях С. М. Шпилевский (1877). Первые научные раскопки, к сожалению, не завершенные, были начаты в 1915—1916 гг. П. А. Пономарёвым (1919i, 19192), а в 1928 г.— А. С. Башкировым (1929). Стационарные исследования на городище и в его окрестностях начались в 1967 г. и ведутся ежегодно до настоящего времени под руководством А. X. Халикова и Ф. Ш. Хузина. За 20 лет работ 38 раскопами вскрыто около 20 000 кв. м площади, исследованы остатки трёх кирпичных зданий, белокаменно-деревянного комплекса дворцовой мечети и многое другое. В с. Билярске открыт музей Билярского городища, где находится и хранилище коллекционных фондов. Билярский археологический комплекс является частью Болгарского государственного историко-архитектурного заповедника.",2,11,,1,50.390947,54.977689,49
