name,addr,dat,x,y,status,id
Алексеевская стоянка II,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, 0, 6 км к юго-западу",II тыс. до н.э. ,55.30288889,50.119824997,1,32
Алексеевскеое поселение XVI,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, 0, 5 км к северо-востоку",X-XIII вв. н.э. ,55.318680556,50.148399998,1,33
Алексеевское городище,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, северная окраина 1_",XVI-XV вв. до н.э. ,55.31555,50.126172219,1,34
Алексеевское поселение I,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, 0, 5 км к юго-западу",XVI-XV вв. до н.э. ,55.301211111,50.111711109,1,35
Алексеевское поселение II,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, 0, 75 км к юго-западу",XVI-XV вв. до н.э. ,55.299963889,50.114799997,1,36
Алексеевское поселение III,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, 1, 5 км к юго-западу",VI- VII вв. н.э. ,55.293669444,50.100122219,1,37
Алексеевское поселение V,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, северо-восточная окраина",XVI-XV вв. до н.э. ,55.315505556,50.143691665,1,38
Альдермышское надгробие,"Республика Татарстан, Высокогорский район, с. Альдермыш, восточная окраина",XV-XVI вв. н.э. ,56.01855,49.234969442,1,39
Альметьевская стоянка,"Республика Татарстан, Альметьевский район, г. Альметьевск, 0, 3 км от кафе “Радуга""",II тыс. до н.э. ,54.88796389,52.383391665,1,40
Альметьевский могильник,"Республика Татарстан, Альметьевский район, г. Альметьевск, восточная часть",II тыс. до н.э. ,54.87443889,52.352741664,1,41
Альшеевское поселение,"Республика Татарстан, Буинский район, с. Альшеево, 0, 4 км к западу от северо-западной окраины",II тыс. до н.э. ,54.758911111,48.265441665,1,42
Альшиховское поселение I,"Республика Татарстан, Буинский район, с. Альшихово, южная окраина",VIII-VI тыс. до н.э. ,54.92881389,48.174113887,1,43
Альшиховское поселение II,"Республика Татарстан, Буинский район, с. Альшихово, южная окраина",X-XIII вв. н.э. ,54.928319444,48.173019443,1,44
Ананьинская стоянка,"Республика Татарстан, Елабужский район, д. Ананьино, на месте Ананьинского м-ка",кон. II тыс. до н.э. - нач. I тыс. до н.э.; VIII-VI вв. до н.э. ,55.726699954,52.116711852,1,45
Анатышское местонахождение I,"Республика Татарстан, Рыбно-Слободский район, с. Анатыш, к северу",X-XIV вв. н.э.,55.495269445,50.143063887,1,46
Анатышское местонахождение II,"Республика Татарстан, Рыбно-Слободский район, с. Анатыш, напротив Анатышского селища",X-XIV вв. н.э.,55.49356389,50.148813886,1,47
Анатышское селище,"Республика Татарстан, Рыбно-Слободский район, с. Анатыш, к северо-востоку",X-XIII вв. н.э.,55.492700001,50.15332222,1,48
Андреевское селище I,"Республика Татарстан, Алексеевский район, д. Андреевка, 0, 7 км к северо-западу",VI- VII вв. н.э. ,55.164991668,50.273913886,1,49
Андреевское селище II,"Республика Татарстан, Алексеевский район, д. Андреевка, 1 км к востоку-северо-востоку",VI- VII вв. н.э. ,55.167350001,50.290908331,1,50
Андреевское селище II,"Республика Татарстан, Новошешминский район, д. Андреевка, западная окраина",X-XIII вв. н.э. ,55.034233333,51.417816664,1,51
Антоновская стоянка,"Республика Татарстан, Камско-Устьинский район, с. Антоновка, 1, 6 км к северу",III тыс. до н.э. ,55.32851398,49.150982489,1,52
Антоновское городище,"Республика Татарстан, Камско-Устьинский район, с. Антоновка, 1, 6 км к северу",VIII-VI вв. до н.э. ,55.328461111,49.150630553,1,53
Антоновское место добычи кремня,"Республика Татарстан, Камско-Устьинский район, с. Антоновка, 3 км к северо-северо-западу",VI-II тыс. до н.э. ,55.339016668,49.135677776,1,54
Апастовское городище,"Республика Татарстан, Апастовский район, с. Апастово, 1, 8-2 км к востоку",VI-VII вв. н.э. ,55.210172223,48.505269442,1,55
Апастовское поселение I,"Республика Татарстан, Апастовский район, с. Апастово, 3, 4 км к северу",II тыс. до н.э. ,55.242822222,48.506022221,1,56
Апастовское поселение II,"Республика Татарстан, Апастовский район, с. Апастово, 2, 7 км к северу",II тыс. до н.э. ,55.234111111,48.506363887,1,57
Апександровсое селище,"Республика Татарстан, Алексеевский район, с. Апександровка, 0, 8 км к юго-востоку",X-XIV вв. н.э. ,55.024616667,50.155433331,1,58
Апексеевское поселение IV,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, 1, 8 км к юго-западу",XVI-XV вв. до н.э. ,55.294230557,50.09519722,1,59
Арбузов-Баранское поселение I,"Республика Татарстан, Алексеевский район, с. Арбузов Баран, северо восточная окраина",VI-VII вв. н.э. ,55.016902778,50.309486109,1,60
Арбузов-Баранское поселение II,"Республика Татарстан, Алексеевский район, с. Арбузов Баран, западная окраина",XVI-XV вв. до н.э. ,55.012611111,50.302105553,1,61
Арбузов-Баранское поселение III,"Республика Татарстан, Алексеевский район, с. Арбузов Баран, восточная окраина",XIII-XIV вв. н.э. ,55.012955556,50.313694442,1,62
Арбузов-Баранское селище I,"Республика Татарстан, Алексеевский район, с. Арбузов Баран, 0, 3 км к юго-западу",X-XIII вв. н.э. ,55.004533333,50.298480554,1,63
Арбузов-Баранское селище II,"Республика Татарстан, Алексеевский район, с. Арбузов Баран, северо западу окраина",X-XIII вв. н.э. ,55.005311111,50.300066664,1,64
Арбузов-Баранское селище IV,"Республика Татарстан, Алексеевский район, с. Арбузов Баран, 0, 4 км к западу-юго-западу",X-XIII вв. н.э. ,55.007875,50.29867222,1,65
Арняшское кладбище (Иске зират),"Республика Татарстан, Арский район, д. Арняш, к юго-юго-западу",XV-XVI вв. н.э. ,56.129666668,49.605105553,1,66
Архангельское селище I,"Республика Татарстан, Новошешминский район, с. Слобода Архангельская, 2, 5 км к юго-западу",X-XIII вв. н.э. ,55.127658334,51.250716665,1,67
Архангельское селище II,"Республика Татарстан, Новошешминский район, с. Слобода Архангельская, 3, 4-3, 5 км к югу",VI-VII вв. н.э. ,55.140058334,51.257924997,1,68
Атабаевская стоянка,"Республика Татарстан, Лаишевский район, с. Атабаево, 3, 5-4 км к западу",II-I тыс. до н.э. ,55.2777,49.343369442,1,69
Атабаевская стоянка III,"Республика Татарстан, Лаишевский район, с. Атабаево, к западу",XIII-IX вв. до н.э. ,55.287069444,49.332252775,1,70
Атабаевская стоянка IV,"Республика Татарстан, Лаишевский район, с. Атабаево, к юго-западу",XIII-IX вв. до н.э. ,55.278605556,49.342338886,1,71
Атабаевская стоянка IX,"Республика Татарстан, Лаишевский район, с. Атабаево, к западу",XIII-IX вв. до н.э. ,55.280741667,49.334594442,1,72
Атабаевская стоянка VIII,"Республика Татарстан, Лаишевский район, с. Атабаево, 1 км к юго-западу",XIII-IX вв. до н.э. ,55.276880556,49.341802776,1,73
Атабаевская стоянка X,"Республика Татарстан, Лаишевский район, с. Атабаево, к 1-1, 5 км западу",XIII-IX вв. до н.э. ,55.284358333,49.32987222,1,74
Атабаевская стоянка XI,"Республика Татарстан, Лаишевский район, с. Атабаево, к 2-1 к западу",XIII-IX вв. до н.э. ,55.284505556,49.323691664,1,75
Атабаевская стоянка XII,"Республика Татарстан, Лаишевский район, с. Атабаево, 3, 5-4 км к западу",II тыс. до н.э. ,55.284066667,49.300433331,1,76
Атабаевское местонахождение I,"Республика Татарстан, Лаишевский район, у с. Атабаево",XIII-IX вв. до н.э. ,55.285500001,49.33766111,1,77
Атабаевское местонахождение II,"Республика Татарстан, Лаишевский район, у с. Атабаево",XIII-IX вв. до до н.э.; XIII-XIV вв. н.э. ,55.285500001,49.33766111,1,78
Атабаевское местонахождение III,"Республика Татарстан, Лаишевский район, с. Атабаево, к западу",XIII-IX вв. до н.э. ,55.285500001,49.33766111,1,79
Атлашкинская курганная группа,"Республика Татарстан, Аксубаевский район, д. Атлашкино, 1 км к северо-западу",не определена,55.008858334,50.753969441,1,80
Атлашкинская стоянка,"Республика Татарстан, Зеленодольский район, д. Атлашкино, к югу",2-я пол. II тыс. до н.э. ,55.845827778,48.640074999,1,81
Атлашкинское городище,"Республика Татарстан, Аксубаевский район, д. Атлашкино, 0, 8 км к юго-западу",X-XIII вв. н.э. ,54.990958333,50.752058331,1,82
Атлашкинское поселение,"Республика Татарстан, Аксубаевский район, д. Атлашкино, 0, 8 км к юго-западу",II тыс. до н.э. ,54.993469444,50.749305554,1,83
Атлашкинское селище,"Республика Татарстан, Аксубаевский район, напротив Атлашкинского городища через овраг",X-XIII вв. н.э. ,54.994111112,50.751452775,1,84
Ачинское селище,"Республика Татарстан, Нижнекамский район, с. Ачи, 0, 9 км к юго-востоку",X-XIII вв. н.э. ,55.405037282,51.298609183,1,85
Ашиязское кладбище,"Республика Татарстан, Атнинский район, д. Айшияз, к юго-востоку",XV-XVI вв. н.э. ,56.283230556,49.316161109,1,86
Ашнякское кладбище с надгробиями,"Республика Татарстан, Алексеевский район, с. Ашняк, 0, 5 км к северо-западу",VI- VII вв. н.э. ,55.103247222,50.126438886,1,87
Ашнякское селище III,"Республика Татарстан, Алексеевский район, с. Ашняк, 2 км к югу",X-XIV вв. н.э. ,55.076319444,50.145063887,1,88
Аэродромное селище,"Республика Татарстан, г. Казань, Ново-Савиновский район, правый берег р. Казанки 0, 5 км к юго-востоку от взлетной полосы испытательного аэродрома КАПО им. Горбунова",XII-XIII вв. н.э. ,55.854877778,49.162213887,1,89
Бавлинская (Ферменная) стоянка III,"Республика Татарстан, Бавлинский район, п. Совхоз-Бавлинский, 1 км к юго-юго-западу",II тыс. до н.э. ,54.161975,53.403116663,1,90
Багаевское местонахождение,"Республика Татарстан, Кайбицкий район, д. Багаево. 1, 5 км к юго-западу",II тыс. до н.э. ,55.469197222,48.133524998,1,91
Базарно-Матакское селище I,"Республика Татарстан, Алькеевский район, с. Базарные Матаки, 2, 5 км к северо-востоку",VI-VII вв. н.э.; X-XIII вв. н.э. ,54.933747222,49.957552776,1,92
Базарно-Матакское селище II,"Республика Татарстан, Алькеевский район, с. Базарные Матаки, 2, 9 км к северу",VI-VII вв. н.э.; X-XIII вв. н.э. ,54.939555557,49.952702776,1,93
Базяковская стоянка I,"Республика Татарстан, Алексеевский район, с. Базяково, 6 км к северо западу",XVI-XV вв. до н.э. ,55.165113889,49.64482222,1,94
Базяковская стоянка II,"Республика Татарстан, Алексеевский район, с. Базяково, 6 км к северо западу",VI-V тыс. до н.э. ,55.163686112,49.645974998,1,95
Базяковская стоянка III,"Республика Татарстан, Алексеевский район, с. Базяково, 6 км к северо западу",XVI-XV вв. до н.э. ,55.163675001,49.648155554,1,96
Базяковская стоянка IV,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",VI-V тыс. до н.э. ,55.169675,49.624424998,1,97
Базяковская стоянка IX,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",XVI-XV вв. до н.э. ,55.166158333,49.643383331,1,98
Базяковская стоянка V,"Республика Татарстан, Алексеевский район, с. Базяково, 6 км к северо западу",XVI-XV вв. до н.э. ,55.1653,49.642269442,1,99
Базяковская стоянка VI,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",XVI-XV вв. до н.э. ,55.176869445,49.644541665,1,100
Базяковская стоянка VII,"Республика Татарстан, Алексеевский район, с. Базяково, 6 км к северо западу",VI-V тыс. до н.э. ,55.174216667,49.674755554,1,101
Базяковская стоянка VIII,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",VI-V тыс. до н.э. ,55.169794444,49.611927775,1,102
Базяковская стоянка X,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",VI-V тыс. до н.э. ,55.172202778,49.669519442,1,103
Базяковская стоянка XI,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",VI-V тыс. до н.э. ,55.172325,49.619436109,1,104
Базяковская стоянка XII,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",VI-V тыс. до н.э. ,55.167116668,49.624499998,1,105
Базяковский могильник I,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",XVI-XV вв. до н.э. ,55.163522223,49.648716664,1,106
Базяковский могильник II,"Республика Татарстан, Алексеевский район, с. Базяково, 6-7 км к северо-западу",VII-VI вв. до н.э. ,55.16915,49.662802776,1,107
Базяковское селище II,"Республика Татарстан, Алексеевский район, с. Базяково, 0, 8 км к северо-западу",VI-VII вв. н.э. ,55.141375,49.712413887,1,108
Байгуловская стоянка I,"Республика Татарстан, Нижнекамский район, с. Байгулово, 0, 15-0, 17 км к северо-востоку",II тыс. до н.э. ,55.509781743,51.725392696,1,109
Байгуловская стоянка II,"Республика Татарстан, Нижнекамский район, с. Байгулово, северо-восточная часть села",II тыс. до н.э. ,55.505690049,51.72859019,1,110
Байгучинское селище I,"Республика Татарстан, Лаишевский район, с. Ташкирмень, к северо-востоку",VI-XIV вв. н.э. ,55.339030556,49.449288887,1,111
Байгучинское селище II,"Республика Татарстан, Лаишевский район, с. Ташкирмень, к северо-востоку",VI-VII вв. н.э. ,55.341152778,49.447530554,1,112
Байтеряковское селище,"Республика Татарстан, Рыбно-Слободский район, с. Байтеряково, к северу",XIII- XIV вв. н.э.,55.607097222,50.265505554,1,113
"Бакалдинские стоянки I, II, III, IV","Республика Татарстан, г. Казань, Приволжский район, на лев. бер. р. Волги к юго-западу от центра города на дюнном всхолмлении поймы",IV-II тыс. до. н.э. ,55.774594445,49.057411108,1,114
Бакалинская стоянка I,"Республика Татарстан, Бавлинский район, д. Бакалы, 0, 8 км к юго-востоку",II тыс. до н.э. ,54.28946389,53.417399997,1,115
Бакалинская стоянка II,"Республика Татарстан, Бавлинский район, д. Бакалы, 2 км к юго-западу",II тыс. до н.э. ,54.280155557,53.429211108,1,116
Бакировская курганная группа,"Республика Татарстан, Лениногорский район, с. Бакирово, 0, 5 км к северо-западу",1-ая пол. II тыс. н.э. ,54.54813889,52.062999998,1,117
Бакировское местонахождение,"Республика Татарстан, Лениногорский район, с. Бакирово, 1 км к югу",1-ая пол. II тыс. н.э. ,54.526702779,52.035383331,1,118
Балахчинская стоянка VIII,"Республика Татарстан, Алексеевский район, с. Балахчино, 2, 8 км к северо-востоку",XVI-XV вв. до н.э. ,55.316066667,49.977283331,1,119
Балахчинское городище,"Республика Татарстан, Алексеевский район, с. Балахчино, 0, 5 км к югу",XVI-XV вв. до н.э. ,55.295708333,49.926941664,1,120
Бал-Бал (Елховский могильник II),"Республика Татарстан, Альметьевский район, с. Елхово, 1, 5 км к юго-востоку",не определена,54.871625001,51.628577776,1,121
Балтачевское городище,"Республика Татарстан, Агрызский район, д. Балтачево, к северо-западу",не определена,56.076483333,52.880711108,1,122
Балтачевское селище I,"Республика Татарстан, Агрызский район, д. Балтачево, к северу",III-IV вв. н.э. ,56.078280556,52.879530553,1,123
Балтачевское селище II,"Республика Татарстан, Агрызский район, д. Балтачево, к юго-востоку",III-IV вв. н.э. ,56.068547223,52.884336107,1,124
Балыклы-Чукаевское местонахождение,"Республика Татарстан, Рыбно-Слободский район, с. Балыкпы-Чукаево, к югу",X-XIV вв. н.э.,55.585347223,50.112827776,1,125
Балынгузские курганы I,"Республика Татарстан, Алексеевский район, с. Билярск, 3, 7 км к северо-северо-западу",XVI-XV вв. до н.э. ,55.013958334,50.331802775,1,126
Балынгузские курганы II,"Республика Татарстан, Алексеевский район, с. Билярск, 3, 4 км к северо-севро-западу",XVI-XV вв. до н.э. ,55.013169444,50.329313886,1,127
Балынгузское (Горецкое) селище III,"Республика Татарстан, Алексеевский район, с. Билярск, 2, 8 км к северо-северо-западу",X-XIII вв. н.э. ,55.006097223,50.442005553,1,128
Балынгузское селище I,"Республика Татарстан, Алексеевский район, с. Билярск, 2 км к северо-северо-западу",X-XIV вв. н.э. ,55.005208333,50.373169442,1,129
Балынгузское селище II,"Республика Татарстан, Алексеевский район, с. Билярск, 1, 9 км к северу",X-XIII вв. н.э. ,55.003630557,50.371280554,1,130
Балынгузское селище IV,"Республика Татарстан, Алексеевский район, с. Билярск, 1, 9 км к северу",X-XIII вв. н.э. ,55.007550001,50.371886108,1,131
Балынгузское селище V,"Республика Татарстан, Алексеевский район, с. Билярск, 1, 5 км к северу",X-XIII вв. н.э. ,55.014561111,50.370477776,1,132
Балынгузское селище VI,"Республика Татарстан, Алексеевский район, с. Билярск, 3, 6 км к северо-северо-западу",X-XIV вв. н.э. ,55.023302778,50.409477775,1,133
Баргузинское селище,"Республика Татарстан, Камско-Устьинский район, д. Баргузино, 1, 5 км к югу",VI-VII вв. до н.э. ,55.207108333,49.039141665,1,134
Барское енорусскинское городище,"Республика Татарстан, Аксубаевский район, с. Барское Енорусскино, 0, 6 км к западу-северо-западу",X-XIII вв. н.э. ,54.896058334,50.929349997,1,135
Барское енорусскинское кладбище с надгробиями,"Республика Татарстан, Аксубаевский район, с. Барское Енорусскино, 1 км к северо-западу",XIV в. н.э. ,54.896347223,50.92925833,1,136
Барское енорусскинское селище I,"Республика Татарстан, Аксубаевский район, с. Барское Енорусскино, 0, 5 км к северо-востоку",X-XIII вв. н.э. ,54.919194445,50.979230553,1,137
Барское енорусскинское селище II,"Республика Татарстан, Аксубаевский район, с. Барское Енорусскино, 0, 6 км к западу-северо-западу, рядом с городищем",X-XIII вв. н.э. ,54.898458334,50.929877775,1,138
Барсуковское селище I,"Республика Татарстан, Актанышский район, с. Барсуково, 0, 5 км к югу",II тыс. до н.э.; III в. до. н.э. - III в. н.э. ,55.807233334,53.85021944,1,139
Барсуковское селище II,"Республика Татарстан, Актанышский район, с. Барсуково, 0, 8 км к югу",III в. до н.э. - III в. н.э. ,55.805347223,53.853136107,1,140
Беловоложское поселение,"Республика Татарстан, Буинский район, д. Беловоложка, юго-восточная окраина",II тыс. до н.э. ,55.052091668,48.092369442,1,141
Белопахотная стоянка,"Республика Татарстан, Мензелинский район, п. ""Белопахотный"", 1 км к юго-востоку",II тыс. до н.э. ,55.683708334,52.976936108,1,142
Беляхчинское городище,"Республика Татарстан, Нижнекамский район, д. Беляхча, 2, 5 км к востоку-юго-востоку",VIII-III вв. до н.э. ,55.587786112,51.578827775,1,143
Березогривская стоянка,"Республика Татарстан, Мамадышский район, д. Березовая Грива, 0, 7 км к востоку",II тыс. до н.э. ,55.517511111,51.255941664,1,144
Березогривская стоянка,"Республика Татарстан, Нижнекамский район, д. Березавая Грива, 1, 5 км к северо-востоку",VI-IV тыс. до н.э. ,55.564703254,51.610367812,1,145
Березогривская стоянка I,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",VI-IV тыс. до н.э. ,55.585038889,49.024658332,1,146
Березогривская стоянка I,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1, 65 км к западу-северо-западу",VI-V тыс. до н.э. ,55.207,49.715961108,1,147
Березогривская стоянка II,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",XIII-IX вв. до н.э. ,55.587802779,49.024141665,1,148
Березогривская стоянка II,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1, 2 км к западу-северо-западу",II тыс. до н.э. ,55.206852778,49.722913886,1,149
Березогривская стоянка III,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",XIII-IX вв. до н.э. ,55.585475,49.022252776,1,150
Березогривская стоянка III,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1, 35 км к западу-северо-западу",VI-V тыс. до н.э. ,55.207294444,49.721111109,1,151
Березогривская стоянка IV,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1, 8 км к западу-северо-",40-10 тыс. до н.э. ,55.207686112,49.713386109,1,152
Березогривская стоянка IX,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",XIII-IX вв. до н.э. ,55.588433334,49.025944442,1,153
Березогривская стоянка V,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",VI-II тыс. до н.э. ,55.589744445,49.019594443,1,154
Березогривская стоянка V,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1, 7 км к ЗСЗ",II тыс. до н.э. ,55.208127778,49.715874997,1,155
Березогривская стоянка VI,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",VI-II тыс. до н.э. ,55.586833333,49.027316666,1,156
Березогривская стоянка VII,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",XIII-IX вв. до н.э. ,55.58955,49.026458331,1,157
Березогривская стоянка X,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",XIII-IX вв. до н.э. ,55.588433334,49.025944442,1,158
Березогривская стоянка XI,"Республика Татарстан, Лаишевский район, б. д. Березовая Грива, к северо-западу",XIII-IX вв. до н.э. ,55.588433334,49.025944442,1,159
Березогривский могильник I,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 0, 3 км к северу",XVI-XV вв. до н.э. ,55.206963889,49.744874998,1,160
Березогривский могильник III,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 2 км к северо-западу",XVI-XV вв. до н.э. ,55.210258333,49.712213886,1,161
Березогривский могильник IV,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 0, 9-0, 95 км к северу",XVI-XV вв. до н.э. ,55.213202778,49.743841665,1,162
Березогривский могильник VI,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 2 км к западо-юго-западу",VI-VII вв. н.э. ,55.200072222,49.717705554,1,163
Березогривское городище ('Сковорода'),"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1, 5-2 км к юго-западу",VI-VII вв. н.э. ,55.184316668,49.715188887,1,164
Березогривское поселение I,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1, 8 км к северо-северо-востоку",II тыс. до н.э. ,55.212169444,49.772044442,1,165
Березогривское поселение II,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 2 км к северо-северо-востоку",II тыс. до н.э. ,55.213541667,49.775563887,1,166
Березогривское селище I,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 1 км к северо-северо-востоку",XIII-XIV вв. н.э. ,55.208238889,49.757749998,1,167
Березогривское селище II,"Республика Татарстан, Алексеевский район, д. Березовая Грива, 2, 5-3 км к западу-юго-западу",VI-VII вв. н.э. ,55.183988889,49.70327222,1,168
Берляковское местонахождение,"Республика Татарстан, Высокогорский район, д. Берляковка, в окрестностях",X-XIV вв. н.э. ,56.063308333,49.397794442,1,169
Берляшское поселение I,"Республика Татарстан, Апастовский район, д. Берляш, 0, 3 км к северу от северо-западной окраины",VI-IV тыс. до н.э.; II тыс. до н.э. ,55.389922223,48.573444442,1,170
Берляшское поселение II,"Республика Татарстан, Апастовский район, д. Берляш, 0, 3 км к югу от юго-восточной окраины",VI-IV тыс. до н.э.; II тыс. до н.э. ,55.380269444,48.580824998,1,171
